Wavenumber,Average_Baseline,PCA_1,PCA_2,PCA_3,PCA_4
1276.666,0.5,-2.9480541057993266e-17,-6.570954260738943e-16,-1.1791877843334778e-16,-1.6618691290361177e-16
1278.594,0.4714519146343149,0.0017559689493074977,-0.01072600641096421,0.013822694727890685,0.003955565778415793
1280.523,0.4440739758769928,0.003470041609861824,-0.020804639028307113,0.02640579864923453,0.007193576218928841
1282.452,0.41782967304980456,0.0051431531898609,-0.030258222274797346,0.03780044973703422,0.009755226375568731
1284.38,0.3926829905941006,0.0067762211092521245,-0.03910869628926022,0.048056832958853185,0.011681075324571124
1286.308,0.3685976481576449,0.008370124969580625,-0.04737754960190635,0.0572243351909605,0.013013016981363406
1288.237,0.3455381153156042,0.00992573928914956,-0.055085902734827205,0.06535146908488935,0.013791595629756686
1290.166,0.3234702587342807,0.011443948088670875,-0.062254568135996446,0.07248568719153758,0.014054349520339921
1292.094,0.3023604589065945,0.012925618747459256,-0.06890397493270575,0.0786734995484222,0.013838126815403362
1294.022,0.282175062663011,0.014371591928031724,-0.0750541158106391,0.0839606802934232,0.013180465624568833
1295.951,0.2628811429129824,0.015782701572199274,-0.08072461434509427,0.08839211214285952,0.012117623699846434
1297.88,0.24444695298270938,0.01715978079046026,-0.08593477170173176,0.09201156104802281,0.010683456068295136
1299.808,0.22684127654150604,0.018503647024685817,-0.09070350660745895,0.0948618588412219,0.008911080008183457
1301.736,0.21003305437556574,0.019815099492532448,-0.09504931453076651,0.09698513807182027,0.006833774749087056
1303.665,0.19399193163973896,0.021094929222719043,-0.098990320807306,0.09842262470341431,0.004483602141608669
1305.594,0.17868855544522605,0.022343918518741377,-0.10254431593158414,0.0992143948127958,0.0018907140183895192
1307.522,0.16409411767609836,0.023562834823768936,-0.10572870876295093,0.09939959678351827,-0.0009155170532399463
1309.45,0.15018012198566064,0.024752433574018868,-0.10856049625985953,0.09901669475917832,-0.0039059800941518103
1311.379,0.13691875671985343,0.025913460708160918,-0.11105630430228797,0.09810323303706245,-0.007052724514951048
1313.307,0.12428315935966235,0.0270466454773496,-0.11323242628434364,0.09669547382447675,-0.010329507914801587
1315.236,0.11224665842113311,0.028152711662261565,-0.11510472254156055,0.09482923122830836,-0.013710133197993031
1317.164,0.10078356600910623,0.029232362188434103,-0.11668872942009158,0.09253891981799377,-0.017170150225494105
1319.093,0.0898684949909347,0.03028629806166465,-0.11799955916413257,0.08985849783753247,-0.020685448303376992
1321.021,0.07947693592873957,0.03131519599989772,-0.11905199135913645,0.08682053181537079,-0.024233380350876053
1322.95,0.06958477618113147,0.032319733554376236,-0.1198603896992555,0.0834571169683013,-0.027791893509319713
1324.878,0.060168688147432946,0.033300561318671804,-0.12043877727887908,0.07979897097321065,-0.03134015321769229
1326.807,0.05120582426448127,0.03425833274400114,-0.1208007688008408,0.07587631925475824,-0.03485813720189945
1328.735,0.04267404170818935,0.03519367234917922,-0.1209596311208583,0.07171802943636424,-0.03832683158544388
1330.664,0.03455174901463443,0.036107208872928294,-0.12092822952622824,0.06735245076890155,-0.04172821870571962
1332.592,0.026817990648151435,0.03699954077652013,-0.12071907486952041,0.06280659924520468,-0.045045112277049625
1334.521,0.01945242268614197,0.03787127150551628,-0.12034428261495668,0.058106941927863136,-0.04826147451457202
1336.449,0.012435278978610282,0.03872297344965798,-0.11981560783098796,0.05327864124291645,-0.051361952409508235
1338.378,0.005747454994463671,0.0395552242112796,-0.11914441576753478,0.04834627640119184,-0.05433246452208909
1340.307,-0.0006295954580441727,0.040368574555799286,-0.11834170443214148,0.04333322876554276,-0.05715961299933105
1342.235,-0.0067138319040236216,0.04116356224807394,-0.11741809292420878,0.038261960018135,-0.059830898252413424
1344.163,-0.012522550393027616,0.04194072084760781,-0.11638382089784198,0.033154142635395505,-0.06233499831933376
1346.092,-0.018072428432018044,0.042700570245282114,-0.11524875354373482,0.028030489674914907,-0.06466156109085358
1348.021,-0.023379613752533373,0.04344360828534079,-0.11402238023982539,0.022910642886185027,-0.0668009001437845
1349.949,-0.02845966261128437,0.04417031988699975,-0.11271381188214764,0.017813322242014224,-0.0687442405145471
