Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,OK14MI01,WD35MI04A,OK14MI06C,FI45MI02,WD70MI03,Terry3MI03,WD70MI01A,WD35MI02,FI45MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,SH63MI24
1672.008,0.10605170061236219,0.09679393724686292,0.3917690242888433,0.1455139012029431,0.0794011420626986,0.4444382344044089,0.11864819746189514,0.13808304455935871,0.12020713598062366,0.10081247684265476,0.15117040570469936,0.11456032463974475,0.03482030094835481,0.0708177720676546,0.1258063131113627,0.016379600726223825,0.21102811883150946,0.1265855065664963,0.060068390998044785,0.15836299763434464,0.1312627982382214,0.2012891412149656,0.19454052203108102,0.097118242860811,0.08420758887043395,0.08551038820590484,0.09944877772157878,0.028609754156173506,0.1794884869357382,0.16528849443528038,0.05146577375503181
1673.937,0.10012286935341325,0.09039244927144585,0.36152341204696425,0.13566579768319498,0.0732198620814582,0.41504042131534424,0.11139132718039864,0.1280289265674487,0.11122687702115891,0.09397743757142096,0.1407125013177053,0.10477221240422618,0.031910558319107274,0.06542662220160489,0.11783003834119316,0.0150964591810899,0.1962971206366778,0.11723904020567594,0.054913035444978386,0.1460051721827691,0.12160835785356638,0.1886521322333426,0.18051964523968367,0.08979023176500278,0.07778453853190642,0.07885175676010014,0.09111674868634717,0.026411774026777468,0.1683676382078475,0.15229192458598695,0.046382732741086674
1675.865,0.09311266605208146,0.0845377445383283,0.3337426772194847,0.12657876996507123,0.06743126160938884,0.3868515141406681,0.10444388256088924,0.11869961643062543,0.10296844528558094,0.08749154704141407,0.13100947019694886,0.09590316430713752,0.029261077645300948,0.060347393887380696,0.11031275060750223,0.013938193062776771,0.18242029321332792,0.10855854058154907,0.05058622816596664,0.1345599213824939,0.11260180996208863,0.1767029799656757,0.16730861565112187,0.08285048112396942,0.07175287460486529,0.07260995158641748,0.08343415229697204,0.024412995361679124,0.1577755484923597,0.14027051638091093,0.04188367116695718
1677.794,0.08369758768658575,0.07934051302173056,0.30747439804089605,0.11813073546625252,0.061860073016721806,0.3599711571823807,0.09778849733155248,0.1100566977377232,0.09524026954349807,0.08149261568832022,0.12176374246208932,0.08755656866980632,0.026859021745710865,0.05555201562160217,0.10304460895290585,0.012871857670177012,0.1692967390515328,0.10034623975208051,0.04708250437478828,0.12385594463986604,0.10407938603975714,0.1655759426844451,0.15487938737857299,0.0761524312782777,0.06602908123181267,0.06676167271373101,0.07629800903217027,0.022621996673554357,0.1478525283547365,0.12910414929618402,0.037828228312405565
1679.722,0.07639012654909827,0.07447633222111755,0.281756541084099,0.1096697782801051,0.056568005375068675,0.3340778404333866,0.09121538335066731,0.10193817147551842,0.08755498369324757,0.07561432149325498,0.11268532034610085,0.07932668332192527,0.024531941493846132,0.05097641860522012,0.09597153171248562,0.011864647023692082,0.15655346408947873,0.09244822788854695,0.04330006373409889,0.11377124644181819,0.09588512831391122,0.15487323017504645,0.1428896063859318,0.06978836896606294,0.06056334305907235,0.06123345667447799,0.06960092121733613,0.020820097857655095,0.13825875176312158,0.11833502208791397,0.03397314909715293
1681.651,0.07180156449659936,0.07013594327704303,0.2589920014782918,0.1018670566317596,0.05201679185851421,0.31083818924770057,0.08506897671271257,0.09462989046222281,0.0805510836203486,0.06995927110619479,0.10421452018726762,0.07189673350600678,0.022354105219857867,0.0468422388950524,0.08943685630708315,0.010976572201348705,0.14494685013182163,0.08529148100415956,0.03899806808250539,0.10469806712607604,0.08842630989880179,0.1446821495596321,0.13169509602941842,0.06409508646007694,0.05558198196640651,0.056259725491527024,0.0637388012056892,0.019093035042824835,0.12928527296573483,0.10866532869139905,0.030381979171093032
1683.579,0.06942461630968227,0.06640469101807805,0.23992466529916434,0.09518884036134634,0.04816092150694612,0.2908076061542779,0.07967844902021112,0.0883242803602855,0.07460873812939053,0.06493906915582226,0.0965460201470642,0.06579583471819272,0.020446787793245158,0.04330215832284939,0.08352073009732919,0.010188772688550202,0.13495287077319212,0.07902482809821293,0.035153825910921255,0.09668378367361474,0.08175110773949723,0.13545816363863855,0.12179847035789315,0.0590782610135,0.05121146000068061,0.0518852234406062,0.05861842438762299,0.017629526438322995,0.12135334592997243,0.10060566545264815,0.027410521213858674
1685.508,0.06419019707300977,0.06240592741252715,0.22042275322948568,0.08873227183083937,0.04419667988398884,0.27033824492210323,0.07436931904810472,0.08212065162134041,0.0687137336811991,0.06014526250006455,0.08904833937078815,0.05978218128662849,0.01853060055571476,0.03956825767860578,0.07753799512504883,0.00940222443361688,0.12486570694275334,0.07284559070624297,0.0334116846839248,0.08876837725599934,0.0751445625391226,0.12612571847417275,0.11215498414022856,0.05417771793982257,0.0469917010134972,0.04778873147399043,0.053202793105681045,0.01632032176033421,0.11338418356004659,0.0925741509011685,0.024611376301443166
1687.436,0.05557029220745946,0.05858998403528548,0.20276686668485988,0.08291840351664415,0.04044278989649319,0.2516477608811203,0.06945888995092758,0.07652472738759131,0.06337294648962791,0.05585588425267371,0.08219601198788418,0.05503851615545885,0.016736840790490704,0.03611686528025182,0.07207535722903546,0.008712505033796364,0.1156214243751082,0.06726393327284658,0.03179164645567384,0.08166269058340214,0.06930809586022779,0.11745671988940265,0.10344947489467754,0.0498303139388922,0.043168380053280164,0.04430420500088572,0.04833545860697458,0.015230137460017168,0.10573540567751033,0.08518568846108016,0.022092858948334182
1689.365,0.05092741792210281,0.055144556492568775,0.18673358777563853,0.07749342954862576,0.03690158989486969,0.23432362581409638,0.06483890858348859,0.07101847858783472,0.058488335494490756,0.05193842439482302,0.07558865724309821,0.05071822740038823,0.015176700906656904,0.033123364067920935,0.06712595938958771,0.00811660542662243,0.1070297598419474,0.062007242055222234,0.029266917053516806,0.07504099665042135,0.06400420442379035,0.10908260654033003,0.09549754879404737,0.045725934729340556,0.03973523683242741,0.04109621240047856,0.04394436126926837,0.01423801127421509,0.09822074545432907,0.07851203834266102,0.01978386135099497
