Wavenumber,Average_Baseline,PCA_1,PCA_2,PCA_3,PCA_4
1276.666,0.5,-7.320929181886576e-16,7.939159832307839e-16,-2.190842631095305e-15,6.495138822574084e-16
1278.594,0.4717600808121841,0.0018730284963515362,-0.006989225286819247,-0.008500522953866944,0.017808477115683324
1280.523,0.44467756811675047,0.003692053282434936,-0.01357677427614392,-0.01646445525912387,0.03397962210284278
1282.452,0.4187163483097459,0.005458521852514075,-0.019776435836240787,-0.023910231298917544,0.04858334199087889
1284.38,0.3938407975773641,0.007173856708761728,-0.025601786321046798,-0.030855935313980433,0.061688298736198174
1286.308,0.3700150303474025,0.00883945193769291,-0.031066307057639117,-0.03731901248727429,0.07336268435095276
1288.237,0.3472039028425514,0.010456682486045709,-0.03618318527018167,-0.04331669962741756,0.08367326693877529
1290.166,0.32537365312001615,0.012026905132622036,-0.040965231415051415,-0.04886625272781686,0.09268469704869733
1292.094,0.3044910275285902,0.013551452260511996,-0.045425035900481726,-0.05398458969742004,0.10046036987858604
1294.022,0.2845227392464024,0.01503163282027246,-0.04957502316067595,-0.058688114584631725,0.10706304302977446
1295.951,0.2654362196595282,0.01646873573040275,-0.05342733440888079,-0.06299300617525624,0.11255406119549254
1297.88,0.2472000676982744,0.017864027129990107,-0.05699380007796993,-0.066915345542468,0.11699280979716467
1299.808,0.22978340691938598,0.019218749258832227,-0.060286024190857754,-0.07047088598361619,0.1204374093437538
1301.736,0.21315551638785,0.020534124519340967,-0.06331539108477514,-0.07367496494782151,0.12294519565483311
1303.665,0.19728637190435952,0.021811354486644334,-0.0660930116189767,-0.07654267943475322,0.12457210193457084
1305.594,0.1821469403179487,0.023051614635918052,-0.06862973576307058,-0.07908893731775984,0.12537224054633936
1307.522,0.16770872737502218,0.024256056945268376,-0.07093618182143077,-0.08132832734862606,0.1253984500786359
1309.45,0.15394354727892523,0.025425815953841777,-0.07302270969109688,-0.08327509661407811,0.12470265649052095
1311.379,0.14082389150852773,0.02656200466957523,-0.07489941446058451,-0.08494323817104071,0.12333539272867618
1313.307,0.12832319035327097,0.027665704560521302,-0.07657618415046771,-0.08634648796174091,0.12134533420237285
1315.236,0.11641506315081267,0.028737986810734382,-0.07806259951151541,-0.08749826509179125,0.11878050102200333
1317.164,0.10507410212580252,0.029779887197814187,-0.079368064126473,-0.08841170773651261,0.11568695052444045
1319.093,0.09427519706879882,0.030792432249069634,-0.08050165304055736,-0.08909968316279995,0.1121099826230583
1321.021,0.08399410593057259,0.03177661208545489,-0.08147228470695109,-0.0895747332521284,0.10809303305404397
1322.95,0.07420697920259599,0.03273340820691575,-0.08228853298384127,-0.08984916641626131,0.10367868606596214
1324.878,0.06489074390413159,0.033663765091796805,-0.08295883073676265,-0.08993492936463357,0.09890775242889309
1326.807,0.056022801917704194,0.03456861886147473,-0.08349125492584056,-0.08984376498278177,0.09382010509705699
1328.735,0.04758125223772953,0.03544886834666872,-0.08389375259633634,-0.08958702559052188,0.08845392666963103
1330.664,0.039544739257216285,0.0363054039576721,-0.08417390787791096,-0.08917588220951952,0.08284638301745477
1332.592,0.03189253642951872,0.03713907885423077,-0.08433918198020876,-0.08862109322487721,0.07703302552238235
1334.521,0.0246045221940207,0.03795073742101362,-0.08439667005683248,-0.08793325177833071,0.07104831702558782
1336.449,0.017661146536756395,0.03874118710583122,-0.08435334767556782,-0.0871225224595147,0.06492517480129899
1338.378,0.01104351388300385,0.03951122597044114,-0.08421582466335407,-0.08619891482390556,0.05869536255975092
1340.307,0.004733280982428978,0.040261618812510766,-0.08399056159279428,-0.08517203651014818,0.052389184077435896
1342.235,-0.001287315086747414,0.04099310773118924,-0.08368377566073419,-0.08405119705191348,0.0460356376406516
1344.163,-0.0070353809646538845,0.04170641791961842,-0.0833013832840068,-0.08284548368941072,0.03966243428965955
1346.092,-0.012527411439743103,0.04240225084764149,-0.08284906355328474,-0.08156368585714104,0.033295927213951595
1348.021,-0.01777937722793262,0.04308127898657192,-0.08233231218113493,-0.08021422043290861,0.026961115522341594
1349.949,-0.02280666396188789,0.04374415209618689,-0.08175638116491163,-0.07880520744163745,0.02068168749282166
1351.877,-0.0276239790426498,0.0443915017511167,-0.08112623115678878,-0.07734453923874939,0.014479998025270524
1353.806,-0.03224542824827815,0.045023935498076054,-0.08044658941765881,-0.07583980393285222,0.00837705030048129
1355.734,-0.03668466127646282,0.04564203104465622,-0.0797220129581547,-0.07429818900755528,0.0023925530065554536
1357.663,-0.040954551450999625,0.046246350932277816,-0.07895673311024896,-0.0727267105017793,-0.0034551725872514743
1359.591,-0.04506756738673973,0.04683742658122655,-0.07815482633818227,-0.07113195697482799,-0.009149066089871271
1361.52,-0.04903539702692509,0.04741577274833533,-0.077320056696628,-0.06952033248109647,-0.014673485099411722
1363.448,-0.052869328341227664,0.047981874422412044,-0.07645602153192803,-0.06789782491713986,-0.02001401938288806
1365.377,-0.05695014983659731,0.048529693764440975,-0.07570169147033537,-0.06619082767067656,-0.024570445764084223
1367.305,-0.06090671717067013,0.049072189228804956,-0.07492579690642762,-0.06447001080433576,-0.02886824972484738
1369.234,-0.064726968224794,0.04960253120218733,-0.07413305159858923,-0.0627482004893323,-0.033009171471065316
1371.162,-0.06841063381439146,0.050116279104058026,-0.0733004414984693,-0.061079964544971554,-0.03702383166393614
1373.091,-0.07196721013745253,0.05061773192091791,-0.07244000907365138,-0.05945385698867532,-0.04082118171069795
1375.019,-0.07541334991292079,0.051112448986304834,-0.07155979321428839,-0.05787799258215818,-0.04430585743298304
1376.948,-0.07874477392982719,0.051600537874545924,-0.07063391012476146,-0.05635173330732419,-0.047571368599668144
1378.876,-0.08197114471906361,0.05208427089246473,-0.06967405869071652,-0.054871507104305654,-0.050685968468288246
1380.805,-0.08509588345345108,0.052561926053351776,-0.06871036090631191,-0.05344789295818745,-0.05361729842075551
1382.733,-0.0881319499611691,0.053036984263543474,-0.06772402289632636,-0.052070709905192,-0.05633542889986862
1384.662,-0.09107817827915096,0.053509007784925004,-0.06670815068078068,-0.05072782619104718,-0.058921528463694146
1386.59,-0.09394028342379275,0.053979134153839085,-0.0656765666426226,-0.04940260524580949,-0.0614363727989934
1388.519,-0.09671767743719203,0.054445158724333385,-0.06461976278128807,-0.048101032062826135,-0.06384307805663847
1390.447,-0.09941725518204639,0.05490802509696491,-0.06351771258708186,-0.04683401269142938,-0.06610623413108331
1392.376,-0.1020408389083651,0.05536208480599009,-0.06238203984145077,-0.04560828902318506,-0.06825314055488992
1394.304,-0.10460103066061555,0.05579847194465434,-0.06122408117476302,-0.04440802855848582,-0.07030172319812567
1396.233,-0.10708598230420316,0.0562155526387558,-0.060024537589709784,-0.04326737727091815,-0.07224826932518473
1398.161,-0.10950433595735158,0.05661253195509989,-0.05879637367770092,-0.042179374811315756,-0.07408289048292144
1400.09,-0.11185958813924247,0.05699514009331175,-0.05756393078234917,-0.041139161327588394,-0.07579764188021051
1402.018,-0.11415593226574793,0.05737008269143355,-0.05632743233640624,-0.04014127973963661,-0.07740558377504529
1403.947,-0.11639821868100313,0.057731160647518605,-0.05508983013784688,-0.03916905844188381,-0.07892875089166122
1405.875,-0.1185913130428449,0.05807829330796496,-0.05386360006306214,-0.03821022750439715,-0.0803477710833442
1407.804,-0.12074008855255389,0.058414641642339706,-0.052660049181688984,-0.03726503630220243,-0.08157424133871781
1409.732,-0.12284916660179403,0.05874741687761254,-0.051481209250724205,-0.03630463565732648,-0.08265874370804621
1411.661,-0.12492096730928512,0.05907328968007952,-0.05034381288800135,-0.03532254588989725,-0.0836198257376138
1413.589,-0.1269658537293922,0.059387532156028496,-0.04923811176194076,-0.03432089064901143,-0.08443597254326116
1415.518,-0.12898399830617308,0.05968697894225396,-0.04815032320640348,-0.033320906586723896,-0.0850880836397744
1417.446,-0.13097461748176165,0.05997407935472838,-0.04706209115739689,-0.032322008445862346,-0.08564123029989383
1419.375,-0.1329404845653835,0.06024105064595798,-0.04597256972037231,-0.03134360140844736,-0.08618234333550157
1421.303,-0.13487410853866816,0.06049366398687843,-0.04482642463629593,-0.030424991944605732,-0.08672601622150687
1423.232,-0.13678183770122945,0.06073223800445562,-0.04367067358162931,-0.02954559105006854,-0.08716536499337449
1425.16,-0.13866259997464872,0.060964590577590544,-0.04249441136706111,-0.028696759450176662,-0.08751011085100956
1427.089,-0.14052391102362974,0.0611898127617259,-0.0413012918554215,-0.02789159425205021,-0.08765511607067715
1429.017,-0.1423629747726483,0.06141246643817248,-0.040072862469698864,-0.027145507062663693,-0.08754504901252652
1430.946,-0.1441722261967539,0.061634647694562485,-0.038797260646419134,-0.026457930610853924,-0.08719560947051003
1432.874,-0.1459503161897914,0.06185975547974002,-0.03746774171719064,-0.025833502221569216,-0.08659120586983236
1434.803,-0.147702852541907,0.06209138147361419,-0.03611300577110402,-0.025240248490993166,-0.0857428606497229
1436.731,-0.14943402430695565,0.06233149517610375,-0.03474533321371791,-0.024648608724991097,-0.0846832591290383
1438.66,-0.15113923151183853,0.06257524846850653,-0.033349580001709886,-0.024089273385557452,-0.08340156092377375
1440.588,-0.15281797593751828,0.06281626602289309,-0.03190501287473039,-0.02357639802736831,-0.0819356223052741
1442.517,-0.15447765124067464,0.06305102215857117,-0.030455694100522148,-0.023077587017306608,-0.08038612699158305
1444.445,-0.15612270891716176,0.06327941295559843,-0.029025338508557375,-0.02257258398469923,-0.07880238180981936
1446.374,-0.15774150819027316,0.0635050666874215,-0.02761448286496358,-0.022085002710115705,-0.07721433512839766
1448.302,-0.15932845666184978,0.0637294351936788,-0.02622202173804554,-0.021622575361158466,-0.07563512645333115
1450.231,-0.160888030418571,0.0639539003155402,-0.024877508347834393,-0.02117075701430164,-0.07399643204712184
1452.159,-0.16241967175855507,0.06417166289505927,-0.023552449986929867,-0.020750899403971908,-0.07229836303024652
1454.088,-0.1639108075668833,0.06438186236793646,-0.02221335999788153,-0.020404815797480703,-0.07061632416432767
1456.016,-0.16536162623516573,0.0645863466075974,-0.02085316738243935,-0.020147030803297633,-0.06892996009908295
1457.945,-0.16677313379382408,0.06477918832502416,-0.019463144492030793,-0.019996069963983308,-0.06720530777583504
1459.873,-0.1681452641779541,0.06497015743463866,-0.018052528689390997,-0.019923625369697794,-0.06549265715654168
1461.802,-0.16948894030098652,0.06516146120873728,-0.016666928683892402,-0.019892329209597822,-0.06375384397037796
1463.73,-0.17080714900209518,0.0653488093703548,-0.015303430847636515,-0.019905881003200374,-0.06196608712797057
1465.659,-0.17209498124216566,0.06552639797623373,-0.013958020084074999,-0.019960179542342974,-0.06019314072076475
1467.587,-0.1733542111020482,0.06569283192410744,-0.012645718923967975,-0.020022727797913562,-0.05851367827932148
1469.516,-0.17459609849720606,0.06584693814986797,-0.011407519677068696,-0.020036468959538475,-0.05698316500840988
1471.444,-0.1758158968635629,0.0659922150005825,-0.01024833261044189,-0.0199798413075268,-0.055610263978082206
1473.373,-0.17700238068162638,0.0661274369198872,-0.009163032009252559,-0.019852872471236776,-0.05444258166930717
1475.301,-0.17816361661731298,0.0662500567289933,-0.008154491486634784,-0.019647054930867196,-0.05335721293934736
1477.23,-0.17930095528621068,0.0663597684100988,-0.00723344976380917,-0.019352913447798936,-0.05231567174745521
1479.158,-0.1804041210426147,0.06645776299002785,-0.0063569949085452845,-0.019000357221154673,-0.051360727021834356
1481.087,-0.18147014230350322,0.06654296216043115,-0.005504294865240934,-0.018613555458205557,-0.0504509759282887
1483.015,-0.18249833612436658,0.06662057011968303,-0.004660250680857067,-0.018206988154590292,-0.04952709431632193
1484.944,-0.18349320621440834,0.0666911989489728,-0.0038595503727393487,-0.01775291976367151,-0.048593373916013524
1486.872,-0.1844567763519837,0.06677026550171905,-0.0031288231075236417,-0.01722450907439882,-0.04764664479662974
1488.801,-0.18539241179602567,0.0668512150593783,-0.002462348437561856,-0.01665787672485663,-0.046664277418815715
1490.729,-0.18629351481504264,0.0669286147518861,-0.0018152288786955624,-0.01608131010580559,-0.04573926021688676
1492.658,-0.1871605525775311,0.06700378615243799,-0.0011889027774843017,-0.015485123615718573,-0.044860675195168585
1494.586,-0.18800028719007217,0.06708019765212034,-0.0005967125561045059,-0.014872955148434187,-0.04397388299942933
1496.515,-0.1888115530821515,0.06715747579267466,-2.180975401096582e-05,-0.014257507892273811,-0.04307532519373131
