Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2,1630_Peak_PCA_3
1367.305,0.0,0.0,0.0,0.0
1369.234,0.0,0.0,0.0,0.0
1371.162,0.0,0.0,0.0,0.0
1373.091,0.0,0.0,0.0,0.0
1375.019,0.0,0.0,0.0,0.0
1376.948,0.0,0.0,0.0,0.0
1378.876,0.0,0.0,0.0,0.0
1380.805,0.0,0.0,0.0,0.0
1382.733,0.0,0.0,0.0,0.0
1384.662,0.0,0.0,0.0,0.0
1386.59,0.0,0.0,0.0,0.0
1388.519,0.0,0.0,0.0,0.0
1390.447,0.0,0.0,0.0,0.0
1392.376,0.0,0.0,0.0,0.0
1394.304,0.0,0.0,0.0,0.0
1396.233,0.0,0.0,0.0,0.0
1398.161,0.0,0.0,0.0,0.0
1400.09,0.0,0.0,0.0,0.0
1402.018,0.0,0.0,0.0,0.0
1403.947,0.0,0.0,0.0,0.0
1405.875,0.0,0.0,0.0,0.0
1407.804,0.0,0.0,0.0,0.0
1409.732,0.0,0.0,0.0,0.0
1411.661,0.0,0.0,0.0,0.0
1413.589,0.0,0.0,0.0,0.0
1415.518,0.0,0.0,0.0,0.0
1417.446,0.0,0.0,0.0,0.0
1419.375,0.0,0.0,0.0,0.0
1421.303,0.0,0.0,0.0,0.0
1423.232,0.0,0.0,0.0,0.0
1425.16,0.0,0.0,0.0,0.0
1427.089,0.0,0.0,0.0,0.0
1429.017,0.0,0.0,0.0,0.0
1430.946,0.0,0.0,0.0,0.0
1432.874,0.0,0.0,0.0,0.0
1434.803,0.0,0.0,0.0,0.0
1436.731,0.0,0.0,0.0,0.0
1438.66,0.0,0.0,0.0,0.0
1440.588,0.0,0.0,0.0,0.0
1442.517,0.0,0.0,0.0,0.0
1444.445,0.0,0.0,0.0,0.0
1446.374,0.0,0.0,0.0,0.0
1448.302,0.0,0.0,0.0,0.0
1450.231,0.0,0.0,0.0,0.0
1452.159,0.03271238895301316,0.000929818667526564,-0.007623260272368346,0.005896598118790298
1454.088,0.031565581947305306,-0.00042770868030736383,-0.00830383242031307,0.007543910632127923
1456.016,0.031519167047504036,-0.002052952560781022,-0.009407211486791293,0.009054673975468113
1457.945,0.032889616314350466,-0.003911202883142388,-0.010701836801153261,0.009657470578766005
1459.873,0.0333349399927767,-0.005993911838519233,-0.012359196000860313,0.009722846387437431
1461.802,0.03225423323541969,-0.008313064748252691,-0.014560423488511807,0.00978601352581328
1463.73,0.03171441178068469,-0.010815101660145609,-0.017431879854833656,0.009974391556417156
1465.659,0.03153369219352997,-0.013401032706747718,-0.020629334543513626,0.009549572823682398
1467.587,0.031367844903375366,-0.016042555413531688,-0.024081394845463296,0.008685515141164828
1469.516,0.03102197577999528,-0.018816247672436698,-0.028089944981685277,0.008414054246630852
1471.444,0.031736202542412745,-0.02166242248393002,-0.03224628407423904,0.007988910301857048
1473.373,0.032387066761489704,-0.024397996931031788,-0.03599498119842871,0.005833152462318647
1475.301,0.03303350809851009,-0.026996189569780213,-0.039460349586975384,0.002395543936563435
1477.23,0.033810554298318404,-0.029529224939636455,-0.04283499861500004,-0.0016819714339349865
1479.158,0.034669114711142424,-0.03193692806687883,-0.04588986913379037,-0.006745752952861797
1481.087,0.03566559335329883,-0.034284311491491255,-0.0488234568200061,-0.012106535886913725
1483.015,0.037305481441188434,-0.03656014740631955,-0.05155021579815393,-0.017738763568942047
1484.944,0.038945174173779774,-0.038726461220627464,-0.0537107005442227,-0.024366745241757512
1486.872,0.04039000891158299,-0.040835200981562285,-0.055692859770997354,-0.03084939945762941
1488.801,0.041421375565978046,-0.042938761310467824,-0.05759715127879031,-0.03666377757641972
1490.729,0.04281444717598405,-0.04495451354485135,-0.059269771243164564,-0.0424834431502436
1492.658,0.044464467376904314,-0.0468715796096645,-0.06074165915413234,-0.04838508086785542
1494.586,0.04503755362287368,-0.04877054672482252,-0.06220272475132173,-0.05359352749729776
1496.515,0.045122592897456626,-0.050700661946511676,-0.06381489396872392,-0.05822945757859663
1498.443,0.04543901444103769,-0.05268398665508414,-0.0656434792875995,-0.062391115218167134
1500.372,0.042036629902718274,-0.054697659710316246,-0.06764960996174257,-0.066198730726439
1502.3,0.04222470845693981,-0.05668500349922292,-0.06989348687986445,-0.06950170681244604
1504.229,0.04272735284602193,-0.05861844598270188,-0.07221288950452961,-0.07245571955423147
1506.157,0.04429554510731275,-0.06038636882795487,-0.07448693917124372,-0.07503675716845798
1508.086,0.046309073600993525,-0.062184577426159286,-0.0772023062988878,-0.07599638863361638
1510.014,0.04748535606523898,-0.06399577688780342,-0.08023117530991652,-0.07533530965962454
