Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness
AC4_OL43_101220_256s_30x30_b,53.899,1.29,16.614,1.877,6.848,0.157,3.559,7.045,3.234,1.175,0.233,68
AC4_OL43_101220_256s_30x30_c,53.899,1.29,16.614,1.877,6.848,0.157,3.559,7.045,3.234,1.175,0.233,68
AC4_OL44_021420_256s_25x25_a,53.207,1.203,17.151,1.93,7.042,0.172,3.621,7.078,4.427,0.966,0.162,55.562
AC4_OL44_021420_256s_25x25_b,53.207,1.203,17.151,1.93,7.042,0.172,3.621,7.078,4.427,0.966,0.162,55.562
AC4_OL44_021420_256s_25x25_c,53.207,1.203,17.151,1.93,7.042,0.172,3.621,7.078,4.427,0.966,0.162,55.562
AC4_OL45_012821_256s_20x25_a,49.592,0.843,18.522,2.096,7.649,0.232,4.423,9.007,3.875,0.65,0.163,29.288
AC4_OL45_012821_256s_20x25_b,49.592,0.843,18.522,2.096,7.649,0.232,4.423,9.007,3.875,0.65,0.163,29.288
AC4_OL45_012821_256s_20x25_c,49.592,0.843,18.522,2.096,7.649,0.232,4.423,9.007,3.875,0.65,0.163,29.288
AC4_OL46_021420_256s_30x30_a,48.569,0.839,18.245,2.184,7.968,0.193,4.747,9.364,3.624,0.619,0.109,73.11
AC4_OL46_021420_256s_30x30_b,48.569,0.839,18.245,2.184,7.968,0.193,4.747,9.364,3.624,0.619,0.109,73.11
AC4_OL46_021420_256s_30x30_c,48.569,0.839,18.245,2.184,7.968,0.193,4.747,9.364,3.624,0.619,0.109,73.11
AC4_OL48_021720_256s_25x25_CO2_a,53.322,1.164,16.939,1.873,6.835,0.166,3.858,7.127,4.407,1.034,0.2,39.616
AC4_OL48_021720_256s_25x25_CO2_b,53.322,1.164,16.939,1.873,6.835,0.166,3.858,7.127,4.407,1.034,0.2,39.616
AC4_OL48_021720_256s_25x25_CO2_c,53.322,1.164,16.939,1.873,6.835,0.166,3.858,7.127,4.407,1.034,0.2,39.616
AC4_OL48_021720_256s_25x25_H2O_a,53.322,1.164,16.939,1.873,6.835,0.166,3.858,7.127,4.407,1.034,0.2,39.616
AC4_OL48_021720_256s_25x25_H2O_b,53.322,1.164,16.939,1.873,6.835,0.166,3.858,7.127,4.407,1.034,0.2,39.616
AC4_OL48_021720_256s_25x25_H2O_c,53.322,1.164,16.939,1.873,6.835,0.166,3.858,7.127,4.407,1.034,0.2,39.616
AC4_OL49_021920_30x30_CO2_a,52.338,1.041,17.92,1.926,7.028,0.203,3.632,7.719,4.25,0.776,0.139,91.254
AC4_OL49_021920_30x30_CO2_b,52.338,1.041,17.92,1.926,7.028,0.203,3.632,7.719,4.25,0.776,0.139,91.254
AC4_OL49_021920_30x30_CO2_c,52.338,1.041,17.92,1.926,7.028,0.203,3.632,7.719,4.25,0.776,0.139,91.254
AC4_OL49_021920_30x30_H2O_a,52.338,1.041,17.92,1.926,7.028,0.203,3.632,7.719,4.25,0.776,0.139,91.254
AC4_OL49_021920_30x30_H2O_b,52.338,1.041,17.92,1.926,7.028,0.203,3.632,7.719,4.25,0.776,0.139,91.254
AC4_OL49_021920_30x30_H2O_c,52.338,1.041,17.92,1.926,7.028,0.203,3.632,7.719,4.25,0.776,0.139,91.254
AC4_OL50_021920_20x20_a,51.86,1.074,16.947,2.064,7.531,0.223,3.919,7.093,4.236,0.973,0.201,49.794
AC4_OL50_021920_20x20_b,51.86,1.074,16.947,2.064,7.531,0.223,3.919,7.093,4.236,0.973,0.201,49.794
AC4_OL50_021920_256s_20x20_c,51.86,1.074,16.947,2.064,7.531,0.223,3.919,7.093,4.236,0.973,0.201,49.794
AC4_OL51_021920_15x20_a,54.627,1.146,16.411,1.971,7.192,0.223,3.753,6.537,4.223,1.198,0.149,55.979
AC4_OL51_021920_15x20_b,54.627,1.146,16.411,1.971,7.192,0.223,3.753,6.537,4.223,1.198,0.149,55.979
AC4_OL51_021920_15x20_c,54.627,1.146,16.411,1.971,7.192,0.223,3.753,6.537,4.223,1.198,0.149,55.979
AC4_OL53_101220_256s_30x30_a,47.953,0.999,18.876,2.041,7.447,0.188,4.336,9.841,3.472,0.669,0.112,39
AC4_OL53_101220_256s_30x30_b,47.953,0.999,18.876,2.041,7.447,0.188,4.336,9.841,3.472,0.669,0.112,39
AC4_OL53_101220_256s_30x30_c,47.953,0.999,18.876,2.041,7.447,0.188,4.336,9.841,3.472,0.669,0.112,39
AC4_RH1_OL2_022120_256s_30x30_a,53.646,1.22,16.137,2.054,7.496,0.199,4.5,6.718,3.981,0.986,0.203,67.802
AC4_RH1_OL2_022120_256s_30x30_b,53.646,1.22,16.137,2.054,7.496,0.199,4.5,6.718,3.981,0.986,0.203,67.802
AC4_RH1_OL2_022120_256s_30x30_c,53.646,1.22,16.137,2.054,7.496,0.199,4.5,6.718,3.981,0.986,0.203,67.802
AC4_RH1_OL3_MI1_022120_256s_20x25_a,49.322,1.117,16.898,2.587,9.439,0.256,5.139,7.842,3.521,0.771,0.144,37.102
AC4_RH1_OL3_MI1_022120_256s_20x25_b,49.322,1.117,16.898,2.587,9.439,0.256,5.139,7.842,3.521,0.771,0.144,37.102
AC4_RH1_OL3_MI1_022120_256s_20x25_c,49.322,1.117,16.898,2.587,9.439,0.256,5.139,7.842,3.521,0.771,0.144,37.102
AC4_RH1_OL3_MI2_022120_256s_20x20_a,47.766,0.844,17.033,2.924,10.668,0.25,5.144,8.269,3.313,0.659,0.107,37.102
AC4_RH1_OL3_MI2_022120_256s_20x20_b,47.766,0.844,17.033,2.924,10.668,0.25,5.144,8.269,3.313,0.659,0.107,37.102
AC4_RH1_OL3_MI2_022120_256s_20x20_c,47.766,0.844,17.033,2.924,10.668,0.25,5.144,8.269,3.313,0.659,0.107,37.102
AC4_RH3_OL1BIG_022120_256s_20x25_a,53.948,1.18,16.451,2.018,7.365,0.239,4.388,6.524,4.403,1.057,0.175,53
AC4_RH3_OL1BIG_022120_256s_20x25_b,53.948,1.18,16.451,2.018,7.365,0.239,4.388,6.524,4.403,1.057,0.175,53
AC4_RH3_OL1BIG_022120_256s_20x25_c,53.948,1.18,16.451,2.018,7.365,0.239,4.388,6.524,4.403,1.057,0.175,53
AC4_RH3_OL1SMALL_022120_256s_20x25_a,53.948,1.18,16.451,2.018,7.365,0.239,4.388,6.524,4.403,1.057,0.175,53
AC4_RH3_OL1SMALL_022120_256s_20x25_b,53.948,1.18,16.451,2.018,7.365,0.239,4.388,6.524,4.403,1.057,0.175,53
AC4_RH3_OL1SMALL_022120_256s_20x25_c,53.948,1.18,16.451,2.018,7.365,0.239,4.388,6.524,4.403,1.057,0.175,53
AC4_RH3_OL2_022120_256s_30x30_a,49.384,1.843,15.688,3.043,11.102,0.221,4.297,5.76,3.963,1.048,0.198,53
AC4_RH3_OL2_022120_256s_30x30_b,49.384,1.843,15.688,3.043,11.102,0.221,4.297,5.76,3.963,1.048,0.198,53
AC4_RH3_OL2_022120_256s_30x30_c,49.384,1.843,15.688,3.043,11.102,0.221,4.297,5.76,3.963,1.048,0.198,53
AC4_RH3_OL3_022120_256s_20x20_a,53.066,1.206,18.479,1.881,6.866,0.182,3.719,7.594,4.332,0.938,0.219,81
AC4_RH3_OL3_022120_256s_20x20_b,53.066,1.206,18.479,1.881,6.866,0.182,3.719,7.594,4.332,0.938,0.219,81
AC4_RH3_OL3_022120_256s_20x20_c,53.066,1.206,18.479,1.881,6.866,0.182,3.719,7.594,4.332,0.938,0.219,81
