Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O
ND70_06_02_75um,49.7700115,0.8348845,16.386637,,8.1603865,0.1487255,8.27122,12.7846305,2.0522125,0.164805,0.085417,
ND70_6_02_75umapt_normalRes,49.7700115,0.8348845,16.386637,,8.1603865,0.1487255,8.27122,12.7846305,2.0522125,0.164805,0.085417,
