Sample,Thickness
Glass_exp_ND70_4_01_33um_full_apt400um_dried_best,33
Glass_exp_ND70_4_01_33um_reflected_apt400um_CaF2,33
point1_100x100_128s_highres_99umthick,99
point2_100x100_128s_highres_99umthick_resave,99
point3_100x100_128s_highres_99umthick,99
