Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
ND70_02-01,47.93,0.76,15.67,,8.07,0.16,8.58,12.76,2.19,0.17,0.08
ND70_03-01,47.32,0.78,15.31,,8.11,0.15,8.69,12.88,2.12,0.16,0.08
ND70_04-02,47.54,0.76,15.26,,7.68,0.16,8.32,12.43,2.22,0.16,0.07
ND70_05-02,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_05-03,46.39,0.66,13.38,,6.94,0.12,8.02,13.35,2.38,0.15,0.07
ND70_degassed,49.71,0.80,16.13,,8.28,0.14,8.72,13.03,2.22,0.16,0.09
Villa_P2,50.60234667,1.29324475,15.41601917,,9.149666083,0.15772275,5.412248417,8.547718833,3.100762583,0.751110583,0.281766167
