Sample	Thickness	SIO2	TIO2	AL2O3	FE2O3	FEO	MNO	MGO	CAO	NA2O	K2O	P2O5	H2O	CO2	Density
FR01MI02	44.59941788	43.70633333	1.1049	17.10053333	0	12.13253333	0.1819	3.617466667	8.1922	1.423133333	7.490966667	0.1438	2.065443673	0.200808366	2738.509044
FR01MI03	58.7480137	48.00546667	1.048933333	16.0242	0	10.46963333	0.2151	4.6353	7.694933333	2.789133333	3.487733333	0.1865	3.380178517	0.120860302	2652.273927
FR01MI04	53.38962184	48.61606667	0.7501	16.8027	0	10.8245	0.1925	6.2087	7.913466667	2.785533333	0.582533333	0.1917	4.602951216	0.07942668	2632.380153
FR02MI01	53.83154332	53.9	0.91	14.44333333	0	9.703333333	0.196666667	5.696666667	5.216666667	3.91	1.146666667	0.3	4.017835498	0.094464555	2578.235948
FR02MI02	55.25869311	48.08	1.09	15.145	0	11.925	0.235	6.49	7.05	3.15	0.78	0.18	3.770822123	0.089215802	2677.428113
FR02MI03	26.22104123	48.52666667	1.03	15.17333333	0	11.96666667	0.233333333	6.41	7.29	3.37	0.72	0.18	3.9498823	0.111584951	2671.876458
FR02MI04	47.79190478	50.30333333	1.093333333	15.38666667	0	10.46333333	0.196666667	5.996666667	6.933333333	3.46	0.813333333	0.196666667	3.548495342	0.07698005	2642.264716
FR02MI05	39.21293333	48.15	1.033333333	14.80333333	0	12.98	0.256666667	6.87	6.686666667	3.29	0.716666667	0.193333333	2.705138668	0.11830724	2727.107065
FR02MI06	48.33574325	49.0475	1.1625	14.2275	0	13.55	0.2375	6.38	6.585	3.4475	0.74	0.1925	4.213540833	0.11614945	2682.011864
FR02MI07	52.08398276	44.6625	1.0625	15.8325	0	10.0925	0.195	5.09	7.3575	2.9325	4.86	0.185	3.403333894	0.060721851	2667.612911
FR02MI08	39.73613538	49.83	1.043333333	15.14333333	0	11.54	0.236666667	6.36	7.026666667	3.056666667	0.763333333	0.19	4.382403512	0.077158125	2641.513034
FR02MI09	55.29824978	48.03666667	0.756666667	17.82666667	0	11.13666667	0.203333333	6.893333333	9.003333333	2.746666667	0.5	0.126666667	2.528165373	0.07409519	2719.325254
FR02MI10	45.41625058	46.33	0.956666667	17.60333333	0	11.15333333	0.203333333	6.383333333	8.97	2.45	0.49	0.143333333	3.773504335	0.131599611	2688.387357
FR04MI01	48.11878887	47.99666667	1.02	15.04666667	0	13.24666667	0.263333333	6.633333333	6.983333333	3.17	0.693333333	0.193333333	3.266806565	0.084543794	2714.925297
FR04MI02	48.24248902	47.51	1.01	14.65	0	13.355	0.275	6.87	7.185	3.05	0.67	0.175	3.152592428	0.085957118	2727.501088
FR04MI03	43.56209947	48	0.608	19.118	0	10.692	0.202	6.598	9.556	2.462	0.446	0.108	1.787760422	0.040169703	2733.407116
FR04MI04	41	49.51333333	1.066666667	14.86666667	0	12.18	0.226666667	6.416666667	7.316666667	3.016666667	0.723333333	0.176666667	2.348519913	0.060350638	2716.997214
FR04MI05	31.87054452	48.8925	0.9275	14.9375	0	13.3125	0.2675	6.7325	6.9375	2.6175	0.6925	0.18	3.189514915	0.102768162	2710.200221
FR04MI08	37.4408094	48.87666667	1	14.98	0	12.79	0.256666667	6.86	6.703333333	2.356666667	0.763333333	0.173333333	3.268517724	0.123251239	2698.441082
FR06MI01	47.38909195	49.4125	0.9275	15.66	0	11.675	0.225	6.1875	6.545	3.6	0.81	0.27	3.046285478	0.066644057	2677.8174
FR06MI02	40.44989387	49.0575	1.105	15.23	0	12.045	0.2375	5.9275	6.775	3.4575	0.7875	0.2025	4.095243413	0.088508175	2656.986433
FR06MI04	49.76340965	47.8225	0.67	19.0525	0	10.2625	0.19	6.185	9.34	2.7125	0.5	0.12	2.273607838	0.034395882	2707.748445
FR06MI05	28.73429655	48.81	1.253333333	15.45666667	0	12.92	0.243333333	5.346666667	6.26	3.663333333	0.843333333	0.266666667	3.014283656	0.134098219	2695.743152
FR06MI06	21.57193936	44.35333333	1	16.06	0	14.79333333	0.273333333	5.59	8.206666667	2.91	0.51	0.15	3.368902487	0.286081664	2760.439727
FR06MI07	25.92225075	48.04666667	0.926666667	15.78666667	0	11.87333333	0.226666667	5.746666667	7.65	3.16	0.663333333	0.213333333	4.285612005	0.140089405	2657.214553
FR06MI08	37.04529824	45.33333333	1.043333333	15.96	0	13.8	0.216666667	6.026666667	8.84	2.75	0.44	0.15	3.632124909	0.224896347	2740.253036
SR01MI01	102.1225728	46.9278	0.56664	15.31145	0	9.76013	0.1572	9.94536	9.04513	1.93121	0.26492	0.18287	3.133559775	0.057680902	2713.867802
SR02MI01	143.143644	46.73954	0.527806667	15.24705333	0	9.667106667	0.164026667	11.35611333	8.79503	1.99618	0.226146667	0.180016667	2.03838517	0.103631783	2761.20327
SR02MI02	58.76821815	47.219	0.535643333	15.72742667	0	10.67833333	0.167866667	10.80741	8.89949	1.981766667	0.232533333	0.189253333	2.947370805	0.091300137	2740.927687
SR02MI03	49.6730285	46.43207	0.574543333	15.69585667	0	11.6653	0.20525	9.013533333	9.269146667	2.076136667	0.22103	0.20682	2.558925506	0.078331606	2759.526788
SR02MI05	38.15628816	49.95765333	0.526376667	15.13294333	0	11.24101	0.193643333	8.74984	8.41452	2.493036667	0.316193333	0.185193333	2.123016864	0.050911963	2732.383976
SR07MI02	63.9286901	49.73233333	0.654633333	16.4924	0	8.6183	0.165633333	7.725833333	9.235933333	2.426366667	0.357566667	0.052333333	6.558237238	0.048055301	2567.802996
SR07MI03	55.01906816	49.11205	0.60925	16.302925	0	8.4854	0.1486	8.127575	10.063025	2.323975	0.2756	0.041625	4.743081017	0.08600911	2626.913855
SR08MI01	53.33011372	47.31415	0.59155	16.5446	0	8.943325	0.163325	9.55175	9.280925	2.197625	0.276625	0.02915	4.434190239	0.088328968	2659.221866
SR08MI02	47.57030952	49.45116667	0.780133333	15.65486667	0	8.464933333	0.158	8.685766667	9.715433333	2.354733333	0.3394	0.078033333	4.315722705	0.047371036	2641.658831
SR08MI03	40.4084842	48.08193333	0.596933333	16.7641	0	8.993633333	0.1664	8.072966667	9.9295	2.267433333	0.844733333	0.077266667	3.376595606	0.236759948	2677.400401
SR08MI04	56.00975403	49.2941	0.752133333	16.2257	0	7.653533333	0.1347	6.8389	8.9595	1.960266667	3.3904	0.044866667	3.74687828	0.127374803	2619.447948
SR09MI01A	45.77647715	47.89756667	0.547866667	16.56813333	0	9.107833333	0.165433333	9.1803	9.586733333	2.317666667	0.247733333	0.0356	4.26566741	0.112467628	2662.369431
SR09MI01B	47.06590339	47.4765	0.592725	16.6759	0	9.08665	0.162925	9.3163	9.547025	2.1635	0.2511	0.02975	4.398112956	0.105671572	2661.720704
