Sample,Thickness,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,H2O,CO2,Density
SH63MI15,51.74908324,50.18278,2.2704966669999997,12.09474667,0,15.08320667,0.330176667,4.357833333,6.770883333,3.006876667,0.9834533329999999,0.71697,1.463536544,0,2781.3423329999996
SH63MI16,46.94608634,47.43643,1.9601866669999999,14.833520000000002,0,12.49328,0.29109,4.474806667,8.050356667,3.253213333,0.5817433329999999,1.234233333,2.267017508,0,2738.218593
SH63MI17,79.90987151,50.32697333,2.50015,12.12759333,0,14.15785,0.300726667,3.7123366669999998,7.4004199999999996,3.002313333,1.2847,1.098763333,1.235492918,0,2774.717579
SH63MI19,29.01152496,48.74532333,2.41188,15.37394333,0,11.92813333,0.24239666699999998,4.26852,7.71134,3.38306,0.61517,0.378153333,1.197760984,0,2755.6022789999997
SH63MI22,35.33270889,43.030120000000004,5.36043,11.87057333,0,22.16370333,0.32647333300000003,4.109346667,6.967413333,2.909226667,1.0915333329999999,0.86016,0.15100139199999998,0,3068.603866
SH63MI24,48.74435146,51.88423333,2.2132,11.5361,0,14.92676667,0.328433333,4.158666667,6.700966667,3.3002,1.012666667,1.072733333,1.953023936,0,2748.500807
SH63MI25,52.43740717,50.4875,3.0475,12.4733,0,14.4522,0.3068,4.0462,7.3528,3.2304,1.2914,1.1328,0.737435442,0,2807.443527
SH63MI27,48.03145126,50.6679,2.807,11.97966667,0,14.9952,0.3108,4.283333333,7.027933332999999,3.156866667,1.167666667,0.951333333,0.8323003170000001,0,2808.145136
SH63MI29,52.31907899,50.90163333,2.3244,12.79936667,0,14.47506667,0.3092,3.961633333,7.261066667000001,3.357066667,1.239933333,1.0983,1.2565691490000002,0,2774.597592
SH63MI31,43.06476953,53.3972,2.1756,12.9955,0,12.9913,0.2535,3.5607,7.4995,3.7235,1.4376,1.1484,0.05998011599999999,0,2767.649228
SH63MI34,66.47929855,49.86926667,1.9317666669999998,13.56193333,0,11.22306667,0.219566667,5.0141,8.555633333,3.2469666669999997,1.1717,0.46316666700000003,2.376346074,0,2709.408015
SH63MI35,56.46797272,48.81805,2.1318,13.89745,0,13.43305,0.2852,4.2122,8.2708,3.5272,0.87105,0.80205,1.176853568,0,2783.99954
SH63MI36,24.21745648,51.0139,2.3803,15.24435,0,12.1111,0.2368,3.02335,8.23275,3.98645,0.89455,0.7173,0.9943971559999999,0,2742.988871
SH63MI39,62.53669309,52.77905,2.77685,12.4719,0,13.7344,0.2871,2.76665,7.8452,3.7291,1.62525,1.48905,0.203934057,0,2784.171444
SH63MI40,54.1213595,50.2131,2.5582,13.3347,0,14.6546,0.2918,3.5464,7.4251,3.3158,0.7258,0.4091,0.739144569,0,2799.74831
SH63MI43,45.54818137,52.1091,1.8978,12.7766,0,15.12975,0.32305,3.5789,7.3223,3.33305,1.1157,1.1273,0.08951900900000001,0,2805.266654
SH63MI47,20.13995656,50.28255,1.72705,14.17685,0,13.4696,0.3044,4.32855,7.9317,3.47555,0.9052,0.7771,0.840138215,0,2776.417057
SH63MI49,42.33333333,50.32077848,2.540038182,13.35308477,0,13.71648112,0.280129545,4.071133788,7.694905909,3.316310152,1.052265303,0.913336515,0.450169428,0,2800.972052
SH63MI53,36.92360612,50.2261,2.6099,15.2667,0,11.970999999999998,0.2561,4.5125,8.2026,3.5472,1.0352,0.9269,0.372117618,0,2784.521655
SH63MI54,35.73138039,50.32077848,2.540038182,13.35308477,0,13.71648112,0.280129545,4.071133788,7.694905909,3.316310152,1.052265303,0.913336515,2.1123620180000002,0,2746.757565
