Wavenumber,WD23MI02,WD33MI03,SH55MI02,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,SH63MI39,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,SH63MI43,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,JFL19BMI11,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,SH63MI53,FI38MI05A,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,SH63MI27,JFL30AMI12,VS73MI02,SH63MI25,SH63MI31,SH63MI24
1251.596,0.004258740838278818,0.0008746300266084805,0.008325131847550127,0.011419557773158617,-0.003247377269492091,-0.012553709246161393,0.010686066778893721,0.0017816025539507674,0.0018927858515181972,0.03578981282167604,-0.0035581115122034213,0.0022164288482620087,0.0019627390913836695,0.004292853840887401,0.0024124376331075004,-0.00024825049941790134,0.0573945762247714,0.008228178961100285,0.014909983037562746,0.006168758407279817,0.0012501773024191642,0.016049487616309976,0.003675275722248461,0.005060768710302588,0.002562147435052564,0.016729938671942834,0.0027343416438461166,0.0012198196536128414,0.005940495556904013,0.0012398993128994729,-0.0009010363905896934,0.0033702868218694615,0.0014690850935830113,0.0022297374077326904,0.000990762341513074,0.001076344156460518,0.0032504609890462444,0.003431842949672692,0.0047706106721585595,-0.001427713605099079,0.0034004096700013253,0.00938809488979242,0.0030122600444630887,-0.002783344690636236,0.017256636208922815,0.010891594824974815,0.0038562586909611785,0.006121705394881327,0.000233158846169923,0.01492917281264039,0.004081834579136023,0.03297237965165123,0.008247749038641006,0.0023654305343714377,0.015360441087955312
1253.524,-0.0065493748404343854,0.0003412601053345288,0.000837701749805575,0.0017307149346430517,-0.0076308587847160325,-0.004688260280101497,0.0022401266826586053,0.0001839608679277127,0.0003910791923625867,0.004461685965586382,-0.007108129167585631,0.0004965654432681488,0.0007250518079828794,0.0010457673063651862,0.0005761260130023871,0.0005019188729300517,0.02438505544893932,0.0010692186669827297,0.0011224980776698423,0.003082528918708194,0.0002054487987537268,0.0010012518955921923,0.0007681202152405309,0.000995020342310582,0.0007687026126443897,0.0023831343798517146,0.0006720343162196496,0.002334018370320212,0.0020891013584825036,0.000242098052182671,-0.00046166185634777257,0.0010501773655557933,0.0002443571998447247,0.00032831272513833554,0.0002682632406851848,-0.005573553066241077,0.0006864170188676244,-6.383125299702641e-05,0.0016336049598935087,-0.00014739364326521454,0.0005877305113850539,0.003176171300004471,0.0008175920293906902,-0.001224421775011697,0.0012708053081982307,0.004018988469985496,0.0010565742055592686,0.001421388590521211,-0.0005970850881926726,0.002469965868229451,0.00033812550092715554,0.005459085459612156,0.001306678755002677,0.0018005922881447756,0.006168473984151657
1255.453,-0.008836961979562963,2.3033189245458274e-05,-0.00256135588140749,-0.0033129528836943756,-0.009096702320016359,0.0021313503757520724,-0.0022741496599152367,-0.00027727382209774554,-0.00034648519310664927,-0.009643060811449722,-0.004356263367975011,-0.0004175575506489837,0.0010818480374950035,-0.0008267607824611334,-0.00020509011649161302,0.0006199322280764363,-0.02668107447111412,-0.001665912808349379,-0.004515798260358972,-0.0014344569769937365,-0.0001162626911086484,-0.0037973417271428556,-0.0008742827806490494,-0.0010216773325071316,-0.0003386153414675075,-0.003395564026986264,-0.0005363756349047177,9.528319224649806e-05,0.0002149868354133222,0.0001768031696280925,0.000245154657024127,-0.0004101586853439976,-0.00026203796345325436,-0.00028974551275018356,-3.7749513757123765e-05,-0.0035591967115125023,-0.000540535932777253,0.0011614423803560925,-0.0009908799781364053,0.0007379072660935737,-0.0005107194380402635,-0.0008956876345641573,-0.00033882013239083797,0.0008277247149359734,-0.005471645807868297,-0.004905996961173997,-0.0007224364218327839,-0.0013779924843985158,-7.71860048751627e-05,-0.0036150893306212684,-0.001494071551611853,-0.007955485911560256,-0.0021878356281290756,0.0017039902783873018,-0.0006417827647897667
1257.381,0.004155744241652881,-0.0005172461445650534,-0.004474255893439638,-0.005840158582814947,0.0017605153847410904,0.006348634541573306,-0.005164393547734791,-0.0007544641856056522,-0.0009196429877148526,-0.019778369674750662,0.0004939097050442598,-0.0012905422444621228,0.0003421772838583248,-0.00207806667122723,-0.0009658527990920041,-0.0004508983707760539,-0.08222868441093167,-0.0035723639648632677,-0.0064293544739992825,-0.004225101946833343,-0.0008870721292595363,-0.005087750634460209,-0.0018322360912303992,-0.002398233524883664,-0.001420203966709943,-0.007340883672589338,-0.001428273907159161,-0.002273907411339815,-0.0025426335560416735,-0.00043176732625660463,0.0008084120569946673,-0.0016675302256530244,-0.0007128919421759417,-0.001040723461666726,-0.0004871076659003215,9.485817723797751e-05,-0.001534382644526433,-0.0002444806702468494,-0.0025516781834953317,0.0011184857249277869,-0.001568333470832295,-0.0038519919481910803,-0.00154211737788712,0.0011324834658448246,-0.00926251632950903,-0.007277831458146533,-0.0019392788109022785,-0.0031513701770590208,-0.00023111479087001285,-0.006967454591644939,-0.0021571253404064628,-0.01778602397639606,-0.0042459648401398375,-0.0003661423132070851,-0.00880044013727499
1259.31,0.013287393643971468,-0.0005416743190028717,-0.00380855013364112,-0.005935915063680519,0.013444217589694496,0.00822235403753746,-0.005722233279706668,-0.0009236378920751687,-0.0010867548742882205,-0.018180515789635088,0.0042421488698871634,-0.0012643247491442855,-0.0006822459489894683,-0.002519786605568175,-0.001335672078516259,-0.0003779268604253705,-0.03618364524605422,-0.003534783302526101,-0.005586119060728256,-0.004497310657817888,-0.0009954264777907174,-0.005559769208925092,-0.0020717425423132374,-0.0026328194455523812,-0.0016141288025093292,-0.008296351680975311,-0.0015919141981753926,-0.0017902109711716019,-0.004232879359619357,-0.000640060426963629,0.0010106592510323864,-0.0021063171501956024,-0.0006219962821882863,-0.0012798072773467783,-0.0004301429598321249,0.003932556556601963,-0.0017289418950170443,-0.0028967429247837018,-0.0025242926977477875,0.0016081383351884693,-0.001788173879548216,-0.005034220675153689,-0.001858072644105535,0.0022455781643537787,-0.007901936446957691,-0.003557096010574634,-0.0022345235813364672,-0.003497975834641398,-0.00047234233317050567,-0.007277925722575462,-0.0018297386273815608,-0.017101218249425898,-0.0034265476104133885,-0.0014422393049449145,-0.012398610111711283
1261.238,0.004585084048152277,-0.0005928457569739365,-0.003586120449362573,-0.005379835227252827,0.014891327554977796,0.007854020683818463,-0.005771965154737879,-0.0010381596109867441,-0.0012149565356521785,-0.016722777321420246,0.008828878944968643,-0.001068773175668447,-0.0025560391571106678,-0.002575356831119535,-0.0015664239984823913,-0.0005728401776685654,-0.01324632785202473,-0.0037738193213050497,-0.006201390518021932,-0.004666652776954994,-0.0008167076987938282,-0.00787752383310214,-0.001982904959707321,-0.002674710305246464,-0.0016374533882923537,-0.008812395176161614,-0.001496516205585774,-0.0015039150179805283,-0.005150534119057859,-0.0009088561239851689,0.00035969514660560975,-0.0022409953537952942,-0.0005166425293552379,-0.0015066801155239062,-0.0004996871396398817,0.004856843383170828,-0.0018153674628873517,-0.004403265903233589,-0.002346225562457782,0.0005781616988265181,-0.002006967956746486,-0.005708984849729815,-0.0019271938680524014,0.001924400497099077,-0.006426707350446703,-0.005683705608102274,-0.002244444352822672,-0.003328741804326185,-0.0006018395187685766,-0.007280630531146137,-0.0018602811744623526,-0.015989758245180008,-0.003978420668334204,-0.003629736515131876,-0.012376070666504813
1263.167,-0.0025904207250466715,-0.0004407888813842131,-0.002161850687954381,-0.003852298974493573,0.013993268540728465,0.007007396300590996,-0.004473219471735179,-0.0004937230118198244,-0.0009188836546325518,-0.011494429435424669,0.01108519274870412,-0.0006955246350075495,-0.002661820836567408,-0.0019954385935168073,-0.0013675526027078222,-0.0002423242593041497,0.007786396895615333,-0.0030503705211677445,-0.006136317343356623,-0.003752063971252051,-0.00037739775436052003,-0.006988806889556054,-0.0015223261692225987,-0.0020626783146993066,-0.0011215782634856897,-0.007303241282166195,-0.001043800627021807,-0.0015402670824997688,-0.0037523833780950255,-0.0006292704088137757,0.0006025186511827707,-0.00174061073127596,-0.0003472722295421171,-0.001019095131933323,-0.0006370719494106503,0.005414163613536527,-0.0014080781267750142,-0.002410970125574563,-0.001866646819190132,-3.4647582207725236e-05,-0.0014284449949839573,-0.0060704295061968505,-0.0015290889867345392,0.001610674150719582,-0.004366626230209114,-0.005555463240371816,-0.001818379745048504,-0.0023582984332946033,0.00032292276534207076,-0.006044998825090686,-0.0007647887435735523,-0.012083333478189351,-0.0031930887432867205,-0.004091400762073594,-0.008575598780062199
1265.095,-0.0002940258548655983,-0.0007127011151401019,-0.0016559566967668804,-0.0025124202063643297,0.006041713807082072,0.004772742708029742,-0.0032185595296055913,-0.00019235776405435168,-0.0005491969140547504,-0.0064914142969663136,0.008070514099510095,-0.000658147238134732,-0.002357542483421904,-0.001386668138395053,-0.0013125999349097306,-0.0001067340421294638,0.013871658121323183,-0.0024883354020811543,-0.004356198034208947,-0.0023390819077169223,-0.000218845606582585,-0.0059505447608514395,-0.0010044089966690373,-0.0015190646846439115,-0.0006257329675157797,-0.004948267123006889,-0.0007038201601156091,-0.0005576326954610522,-0.0024252126804682472,-0.0006030842729416452,9.197867223265099e-05,-0.00131747217746081,-0.0006776769286136464,-0.0006037374823091302,-0.0007128791332321471,0.004585462204291124,-0.0010728256653175228,0.001137332888215381,-0.0019713905095082307,-0.001001992905963256,-0.001118331286819041,-0.005331164678832212,-0.0012283979371585652,0.000763454811852915,-0.003209826276477701,-0.002601726897026646,-0.0013041353777010212,-0.0016421440687273137,0.0005766236321698148,-0.004609690412142098,-0.0004342970966404458,-0.00796638346298395,-0.0022863915646553767,-0.0035976668640762544,-0.005027640430790736
1267.024,-0.005519411520545692,-0.0005592758811471255,-0.0005966553231506744,-0.0008681788238270594,-0.0003481633858255506,0.0020708217263092354,-0.0014523136272556192,-3.909253716982697e-05,-8.820699674472188e-05,-0.0012100090713638156,0.005641602815800173,-0.00036251009602261686,-0.0017831555937362076,-0.0005826317113899471,-0.0007102430388065128,0.0002055775370575219,0.01815208494955778,-0.0013066124640127574,-0.0011578310880551168,-0.0004470102533564724,0.00023550178244813313,-0.003925364829553746,-0.00036275626785636783,-0.0007125426258136613,-0.00016331603980923592,-0.002041749822701555,-0.00027916250249915286,0.002162653612403531,-0.0012184745699153066,-0.00033541070786125005,-0.0001050258827766104,-0.0006308915871741094,-0.0003560481724348419,1.0375677613860823e-05,-0.00017804043519120683,0.00243518411202559,-0.0005270628571527602,0.001084500618157458,-0.001628294674977493,-0.0005505776704890497,-0.0004396881248089901,-0.0033456704019134698,-0.00037089365633102833,0.0007508001671370224,-0.0007544396794858521,-0.00012374556771033163,-0.000623949870467766,-0.0007077790578053911,0.0008593421947217239,-0.002141068100034449,-7.217599558773102e-05,-0.0027100977140939175,-0.000827832861824751,-0.001840302639446234,-0.0010029725970961412
1268.952,-0.005865259901328246,-6.830860231155089e-05,0.00022517058554405445,0.0005796462721567863,-0.011233939777858026,-0.00045635482439632113,-7.597806359216364e-05,-0.00011845700064583298,0.00020487541447200552,0.0026505100760654265,0.0012478827159911887,1.0316680355337837e-05,-0.0014806116635723843,0.00013883444186346683,-0.00012805695811524131,0.00017592454145942682,0.017292306504776755,-0.0009508002069293919,0.0004266349976284056,0.0013235493248217045,0.00041096145063990175,-0.0009962254782277524,0.00017219619140540487,-0.000132852348941781,-0.00011269301979299762,0.00026473349473221663,-4.268035180443608e-05,4.880310360944051e-06,-0.00036658659017407835,-0.00043336470506472047,-2.919610637619474e-05,-4.8613855239465487e-05,-0.00017137750687035158,0.00034142419210103636,-1.2737599375589603e-05,-0.0008292257066677688,-0.00013577548091847635,-0.0008317214557267416,-0.0010361923571615694,-0.0007506052738344149,-0.00011691180151141012,-0.0012585897097184828,0.00012841491874115984,8.776690320955183e-05,0.0007304023705341223,0.0012439007579343464,-3.956284303607838e-05,4.4134252290328746e-05,0.000774007566004653,-5.952769650097167e-05,9.22057976591173e-05,0.0015305842539499181,-5.661636417864102e-05,-0.00035240890648902123,0.0016629597426143228
