Wavenumber,SH54MI12,SH63MI29,SH63MI15,WD33MI02,SH01MI15,WD23MI02,FI38MI06,WD33MI03,SH63MI14,SH55MI02,SH54MI11,SH63MI16,SH63MI02,SH01MI16,WD23MI01,SH01MI02,WD32MI04,JFL019BMI04,WD71AMI01,WD32MI05,SH01MI17,SH63MI03,SH63MI17,SH63MI13,SH01MI13,WD23MI04,WD33MI05,SH63MI12,SH54MI03,SH63MI04,SH63MI10,SH01MI10,FI38MI02,WD32MI02,WD32MI03,WD23MI06,SH01MI11,SH01MI05,WD33MI06,SH63MI39,SH63MI11,OK17MI03,WD23MI03A,FI38MI01C,SH01MI12B,OK14MI10,SH60MI02,CV09EMI05,TAP18AMI05,TAP18AMI04,FI38MI01B,SH01MI12A,SH63MI49,CONE3-2AMI03,SH60MI01,OK14MI07,CV09EMI06,OK14MI12,FI38MI01A,JFL19BMI08,TAP18AMI03,JFL19BMI09,AK96MI13,WD07MI03,CONE3-2AMI05,OK14MI01,WD35MI04A,AK96MI04,WD70MI02,SH63MI43,SH60MI23,OK14MI06B,OK14MI06C,Terry3MI04A,Terry3MI01,FI45MI02,WD12MI04B,AK96MI08,WD70MI03,SH63MI54,SH63MI40,Terry3MI03,JFL19CMI01,OK14MI06A,JFL19BMI11,FI45MI01,WD12MI04A,WD70MI04,SH60MI25,FI45MI05,WD35MI03,WD70MI01A,WD35MI02,WD07MI01A,SH60MI24,FI45MI06,Terry3MI05,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,SH63MI53,SH63MI47,FI38MI05A,WD10MI04,SH58MI01,SH58MI15,SH63MI34,SH01MI20,SH01MI08,OK17MI05B,SH01MI09,SH01MI21,SH63MI35,WD10MI05,FI38MI05B,OK17MI05A,SH63MI22,JFL30AMI05,SH58MI11A,SH58MI13,SH63MI05B,FI45MI04A,FI38MI08,SH63MI27,JFL30AMI12,VS73MI02,SH63MI25,SH63MI31,SH63MI19,SH63MI05A,SH01MI19,VS74AMI01,SH01MI18,SH63MI24
1430.946,0.11454901123976369,0.15816874786414337,0.13160612202396843,0.17475309674374329,0.1231338607581744,0.1800701424301056,0.17999231698442353,0.1650881953800808,0.12280306536797309,0.12203757328044923,0.1315466601851878,0.1495645111870979,0.13351993611128526,0.11161193205681075,0.16596203990293512,0.1543565305249473,0.1828409271158321,0.16931304498764832,0.21022351023089425,0.16714298812795853,0.1262636886680018,0.08448849934621488,0.11809164586100887,0.09127214097779951,0.19126318563539296,0.1741040443491212,0.2176147661533061,0.14018951513186395,0.23279944540858344,0.12858327049264934,0.12211301946911068,0.2420464309666268,0.1343344724622909,0.20616039074379833,0.1999202036416351,0.1325957228407061,0.19921747550828228,0.16691112904723088,0.2118022851003214,0.10923879700729333,0.1765778143017881,0.20060436055950637,0.20033137154345215,0.11434903896878557,0.1940306107214531,0.358555377595271,0.22993909359327025,0.20964869586938756,0.2878919431592589,0.2682327840215517,0.22379793216272734,0.1774886932435591,0.43695121501530276,0.2144079310674633,0.23178404037335587,0.1757079906809383,0.2117785343356544,0.1690334483575544,0.22243170568551934,0.2054101904953498,0.37930560842713934,0.19921264743582767,0.16572880973741505,0.15077896151800163,0.14083668172536773,0.16082816000654854,0.14459271415986086,0.14160115757718839,0.21923279511116078,0.14535303197528576,0.1651132472861448,0.12285073757561582,0.1379192653652488,0.1529052827674205,0.14466766439550421,0.18530804551393443,0.2178153640415177,0.1309130473308719,0.1992248635799057,0.5145241795996209,0.1813529735310201,0.18832166801677985,0.20008606967843484,0.26653535070512835,0.15329122014008245,0.1903280207309762,0.1971613976052931,0.23749201377230267,0.21198305725810557,0.17242276180192984,0.17009797836320045,0.1586301479451555,0.21684646122405926,0.21428232579886003,0.18835603983186777,0.17711647482773352,0.15282653610793634,0.09099889529045824,0.16641328655194032,0.19568626598567251,0.1607419277523493,0.1818443770362247,0.1637115878319762,0.23834662678645047,0.15984094422255607,0.14187896873262473,0.16435982874700053,0.15558000958372042,0.14749198290039667,0.18050273436816605,0.17227395632292136,0.2975437016498885,0.17053622711435423,0.17146431771787374,0.1697349477393289,0.1742335374323668,0.17539611908826985,0.1467734605399641,0.20533115086661913,0.13609508931112707,0.24977195936645524,0.12120883020451895,0.17603446111986165,0.18932653158499219,0.14544147036063326,0.17782297460330715,0.1188153547757887,0.17019662436973831,0.07521946523102369,0.14866368800553664,0.16039597485652907,0.4212443330258302,0.1728522099078863,0.1404838685595396,0.33148363086143473,0.1596891144548494,0.14253209815560297
1432.874,0.11366642475025446,0.15700550023502047,0.13016502802462065,0.17253788179780383,0.12295920534031968,0.1770410305905864,0.179116529137208,0.16396976981093636,0.1215207787869036,0.12114499650283794,0.1305727372060082,0.1484421455973619,0.13196609141905474,0.11027458414835184,0.16408869499458356,0.15368235930236257,0.18085666127894862,0.16973223519059533,0.2093331353486766,0.16631713962076755,0.12575239976817187,0.0836213758375336,0.11722366469445991,0.09095721173480009,0.1900509581816628,0.1741930519371413,0.21665382665422817,0.13956889828112057,0.23227154456853805,0.12711391359970825,0.12081947581441638,0.24175039383511243,0.13377580798090305,0.2051038285342328,0.1993937896513116,0.1315032864499509,0.19879745032232643,0.16621561445720312,0.2115089247022709,0.1085629598349494,0.17541469713183816,0.19958184633912468,0.19910859960623883,0.11331049767122037,0.19256289393313164,0.35619572974624125,0.22917292771712433,0.20868972056645624,0.28704779310194295,0.26775463547586,0.2230870499996392,0.17621857017520204,0.43321145833037855,0.21314357716243892,0.23015027252667475,0.1740499068122679,0.21260154103393325,0.16814053144970448,0.22225614922249248,0.20427837881493627,0.37595005203094267,0.19833992146367319,0.16439520597396556,0.1495834057670773,0.14038884601046947,0.15898606758811967,0.14393315058873957,0.1404181184937181,0.21734112318535692,0.14359971029995966,0.1636213351496587,0.12317684088535896,0.13702967550917244,0.15205091793342668,0.14439876050374228,0.184382425842881,0.21657893130333306,0.12958105801914588,0.19828860651655156,0.5135580174813383,0.18043852105814956,0.1864894454169732,0.1999454966555782,0.26476033582021186,0.15207273277933236,0.18977523991280976,0.19610813439538166,0.23718302667858326,0.21103742932896735,0.17140707350994494,0.1693578715913988,0.15754852790258062,0.21549028844077678,0.21329544644901288,0.18724601153018172,0.17681154994382708,0.15186438624705834,0.08930820252258787,0.16559832615846543,0.19435404674398982,0.15956812416520538,0.18061932909530432,0.16266443071649128,0.2371449680820671,0.15709648252379294,0.1411136338411274,0.16405505784797256,0.154398791461607,0.1459373829317478,0.17924565693764588,0.17083393982631234,0.2948661900117755,0.17108178719306677,0.17158534938431402,0.16760211402650443,0.1731202263357139,0.17200845363947426,0.14630302772718862,0.20437471653482642,0.13575622072870458,0.24853393291389247,0.12110550196868614,0.17639557151536706,0.18763144498012135,0.14440730096610666,0.17587452174896984,0.1173826259978143,0.16988211330785208,0.07413354544901507,0.1473448342064268,0.1594946440826313,0.4184721546057314,0.17187266990836547,0.13996171987701495,0.32853978378557513,0.1588548804254601,0.1413541485369696
1434.803,0.1127068710484817,0.15587310895119405,0.1285991247294766,0.16769261939062396,0.12245249945808928,0.17418807167251737,0.1783911153209249,0.1625952451214681,0.11999151928116825,0.12018299058293463,0.12951848752544376,0.14720574692396327,0.1300785189521873,0.10875245427953167,0.16600831271019717,0.1529904476664557,0.17815681117102283,0.16983782207303322,0.20830028767876135,0.16531203664986316,0.12399327959915601,0.082713177810041,0.11632335368041494,0.09055789034869899,0.18865802016836514,0.17034515866262512,0.2156829243445486,0.13900351196978733,0.23167134837390313,0.12569909554498288,0.11940475037541926,0.2411533189448618,0.13316789124511647,0.204097799330837,0.19886429166735364,0.13038784702475947,0.19829583115192573,0.16547175114540996,0.21102706886480938,0.10786307935094985,0.1743084325389902,0.19870852504487968,0.19783355756626653,0.11228927632959693,0.19111332144572069,0.35377561844039085,0.22900758392131138,0.20767927633564426,0.28541113253108963,0.2662054680124355,0.2225203684257995,0.17483422803483972,0.42967065384189884,0.21181240267915352,0.22845764965450177,0.1727828738825381,0.2122775469571745,0.16721966499675234,0.22210607327931475,0.20193815991841202,0.37423003282285605,0.19719794729528084,0.1629042487754791,0.1472780770968498,0.13985265324909674,0.1573597829905965,0.143187502717816,0.13925173073024721,0.2154497593557153,0.14162611296073785,0.1621892284757529,0.12346957714714712,0.13609881388249645,0.15115751344376202,0.14305525234200606,0.18325668029805375,0.2151824660575925,0.12814882060400845,0.19731448084913522,0.5148867620260391,0.17954003268673213,0.18455346865069427,0.1996598347462175,0.2625925145393523,0.150845061822374,0.18942577772954583,0.1949198326136663,0.2368355000283905,0.21006517450058948,0.17033330932294227,0.1685216866687143,0.1564799078004227,0.2141355369739486,0.21225237146134385,0.1858909679938361,0.1761460594820996,0.15101187249062503,0.08788658670392047,0.16468468563199057,0.19151055599515532,0.15859504109562494,0.1793938498546992,0.1616037570633272,0.23622617376060395,0.1542290197404913,0.14039302763003725,0.16363212019635268,0.15312728669213183,0.14419062497509189,0.17803866107629712,0.16907743133301467,0.2921602544451771,0.1710569305312356,0.17164571749784374,0.16556190454206882,0.1718299612181925,0.16902601036987086,0.1458420571902317,0.20343660070549574,0.13538791360811164,0.24740715499266075,0.12100457851912255,0.1767005700549394,0.1857425440239341,0.14312236242944398,0.17409427369413077,0.11600926884909019,0.16926190735400248,0.07307170578801614,0.14592126533579375,0.15859470574778944,0.41526827695961654,0.17059936444896184,0.1393017976802411,0.3253482218249598,0.15781906385362493,0.1400968512605203
1436.731,0.11180786808107296,0.15473835160768884,0.12705690319815027,0.1671259261182474,0.12196598495364563,0.17530134779669176,0.1776910307792804,0.16137294831946591,0.11845610517858818,0.11924228678623455,0.12854255722928765,0.14604480889237448,0.12806924373318707,0.10717110809529451,0.16684907554243367,0.15231290239128709,0.17866903646178622,0.16980022785619842,0.20740428465803495,0.16421095038539357,0.12388562428107647,0.08186574563246041,0.11545897485230341,0.09017551477017488,0.18720790420457945,0.16902829115612972,0.2147277964849884,0.13863609208880234,0.23101333197910218,0.12447929273619673,0.11800016722405965,0.24048180614654213,0.13239614831263874,0.20320973136440168,0.1982543330802481,0.1291255130167711,0.19780064616920667,0.16473827194598378,0.21038191944171092,0.10729543708105549,0.17355538179453894,0.19810606815954646,0.19652593382890737,0.1112694545803728,0.18981256079948083,0.35142953800118415,0.2286942730142033,0.20671449908084283,0.2829592713441297,0.26392211844328606,0.22212899033577937,0.17346755884291154,0.4259059359461288,0.21052018138193668,0.22676910304941134,0.17149598308513558,0.21118397789526044,0.16632949567130229,0.22191540125366577,0.1996597806529138,0.37387539639824485,0.19586927728017256,0.16144824464076007,0.1472645041640145,0.1393715148783118,0.15610987442287066,0.1423639441265384,0.13812657358501823,0.2137905074725065,0.13990794077953816,0.16095573121352275,0.12371512286968545,0.13521475458194443,0.15029962093003893,0.144488386706854,0.18206920177192398,0.21392567424269482,0.12675764753703572,0.19633257134507082,0.515624011193043,0.17872555110358812,0.18511546546476226,0.19940372715241272,0.260277498773859,0.14966832400183355,0.1891565408299002,0.19368522113585834,0.2364660657416875,0.209025663797408,0.16969898404357164,0.1676423809568835,0.15546320412698117,0.21290290027913472,0.21116942036750647,0.18444264362504625,0.17513538849928834,0.15028516041091677,0.08684735896314705,0.16371321207674977,0.19139029523459916,0.15771039171541257,0.17838660825457414,0.1606325531186087,0.235236706253663,0.15118629519550664,0.13983629140763654,0.16317462370171804,0.1518228029676323,0.14252377232765556,0.17692605059957955,0.17053866759632302,0.28974904193981477,0.17096292548482783,0.17179967424197296,0.16634539935820192,0.17028128119290054,0.17049116159313815,0.1454353764607833,0.20261569350573844,0.13509027429176107,0.246453170552974,0.12092615145724045,0.17691782694335778,0.183804672569099,0.14188889786354064,0.17260460854368787,0.1147533885249265,0.16859266145495705,0.07208515553664246,0.14448890900299638,0.15773216434759257,0.4117951120302036,0.16919209557957104,0.1385547698500451,0.32221194024053235,0.15671362820637408,0.13883518221229046
1438.66,0.11091699584992865,0.15353775926342866,0.12544104951603469,0.168273245198597,0.12140613015440266,0.17541398476822284,0.17717708971261303,0.1603877170681014,0.11684573124264303,0.1183059350362104,0.12763099716566856,0.144883045252013,0.1262130639110582,0.10565604974908382,0.16442678659246862,0.15165110861423342,0.17973109429222517,0.1695130579694012,0.2065873283371416,0.1630532343158091,0.12351951211164391,0.08106686034038552,0.1146145532831302,0.0898211351481048,0.18595826401781385,0.17131908829658127,0.2137696495919127,0.13846009817955102,0.2301710790355091,0.12334243524171262,0.11656747633043618,0.2397373556283201,0.1314533460741943,0.20220423649792918,0.1976185954694315,0.12777237556907006,0.19726887116313407,0.16399190466383262,0.209535831445674,0.10688358954452032,0.17303898727933914,0.19745666546315987,0.1952655274177073,0.11025256322773475,0.1886352956942432,0.3493641456420151,0.22754548846254807,0.2058339749013176,0.2804653943465497,0.26094179384722715,0.22190530457151575,0.17218110212699034,0.42240115502330156,0.2089179401249392,0.22511128522694324,0.17020142320808707,0.2094634767327057,0.16537679516019987,0.22160877126904344,0.19789859021410916,0.3738719245344104,0.19452213522379835,0.1601343369933918,0.14776207302895172,0.13884857317371074,0.1549656055637283,0.14154219741247842,0.13698196851905042,0.21244597581930358,0.13851015706240655,0.15991566124650547,0.12390019081780568,0.13441932243366855,0.14945928842207942,0.1456311776819883,0.18081338941108338,0.21273516153656802,0.12545683495968823,0.1952941215797081,0.5154561558291393,0.17781725308861646,0.18563262221219695,0.19901639124369574,0.2574471344461666,0.14863165230644237,0.18897547755769212,0.19238836139446786,0.23601239882807556,0.2079184668277328,0.16926283590019037,0.16671888692089648,0.15460762471505357,0.21157373250848022,0.2100893279055993,0.18288208296053488,0.17400100083842773,0.14960259824214583,0.08602489176272482,0.16268200468690197,0.1920978079822015,0.15687869144249733,0.17742445707603594,0.1597014428073436,0.23410623565778454,0.14828985619517404,0.13941706647740293,0.1626358663055457,0.15042653940342798,0.14080803330649888,0.1758599857067618,0.1703119440481024,0.2876385512340468,0.17091730133473837,0.17188049332599142,0.1664845748604621,0.16881893641401713,0.17149135603175908,0.14526304476243923,0.20189392465128325,0.1346753402017386,0.24568110574553792,0.1208844555662793,0.17691572970389108,0.18176967629194524,0.14084268506528175,0.17161397824288405,0.11356345322522737,0.16792608360733569,0.07120203408878173,0.14309529619741335,0.15688874411943143,0.40821399393034274,0.16776864206760012,0.13764177775913955,0.3195651193922491,0.15548118431149438,0.13757501899656277
1440.588,0.11000746660870797,0.15235046075963204,0.1238497309946312,0.16635529001979676,0.1207326500050021,0.1723171053498042,0.17726861915234848,0.15958094586755162,0.1153777020850037,0.11735835958686414,0.1268160945178201,0.1436868372136615,0.12461111464310465,0.10422643384344632,0.16087048189016695,0.1509849108106493,0.1778744041651268,0.16902213036440839,0.20579623786238865,0.16186407602607117,0.1211103465419463,0.08033047975084967,0.1137645990085088,0.08945014661324069,0.18488753042235612,0.1716141428909157,0.2127740289453237,0.13843560352081863,0.2292251276939819,0.12236480562090757,0.11512906493921249,0.23887653337089976,0.13033989465453572,0.20113357797143594,0.19711210882259012,0.1264001255837256,0.1965760647016257,0.16316747242346147,0.20861454364266785,0.10643821682694438,0.17267962587719016,0.19675807733904604,0.19410251763131536,0.10922924249751226,0.18761650034152721,0.3476621239111539,0.22570064168182863,0.20495451129363962,0.27888467661479,0.25846517417422854,0.22161176071865193,0.1710256639744197,0.4190351924707909,0.20677949048620986,0.22352238767407073,0.1689866794577619,0.2078358280138437,0.1642733565939869,0.22112490051584488,0.19653727352783912,0.37398324116860904,0.1931468172395645,0.15885253789412057,0.14722252129725866,0.13822797368090117,0.15379198850020515,0.14067434848921656,0.13586656099107847,0.21136521299323163,0.13713297347915654,0.15881578581690803,0.12400654828316116,0.13366239677823033,0.14862495296965972,0.14379371410606467,0.17943474867006848,0.2115041100521402,0.12427718113308944,0.19427797274511083,0.5150432220936876,0.1768438490317102,0.1833953627155015,0.1985176789355082,0.2545466021383441,0.14768040108216635,0.18868997304769586,0.19108927401864478,0.23544825483320464,0.20671133290757093,0.1685469727954957,0.16578075240477513,0.15391179457094167,0.21026464083273988,0.2090036629206889,0.18112652590345668,0.17299565100305936,0.14872948687604115,0.08529482885088724,0.16167684238133773,0.19049594349242088,0.15608688528386672,0.17652209971742816,0.15879550908312956,0.23275203100660502,0.14538077705935148,0.13902302424030882,0.1619610844869165,0.1489642406950883,0.13911763416519868,0.17491019232963456,0.16634033600609538,0.28547704322074163,0.17081277470689005,0.17170818651363873,0.1640374313284812,0.1675937366105129,0.16778322824231362,0.14528571479825436,0.20114773112687895,0.1342496872681691,0.2450740281667706,0.12078438542797265,0.17669303711318174,0.17980389165288052,0.139761500075416,0.17111367869550442,0.11244588557926144,0.1672196299911486,0.07041302899489021,0.1417881152958056,0.15608426245487006,0.4046928939357548,0.1664267364389448,0.13666814591724397,0.31686194908717435,0.15422421032340888,0.13628643926426198
