Wavenumber,0,1,2,3,4,5,6,7,8,9
1251.596,0.9657256743510432,0.9935943417042804,0.9389004417812902,0.9421508489599227,0.971013379250326,0.9562344660079534,0.9693764818947963,0.9684374910696408,0.9661067866571018,0.9801399380476911
1253.524,0.9275117073448639,0.956010365458357,0.8970097810616661,0.9040590277946448,0.9396812867648279,0.9197574498564454,0.930990596224183,0.9296751454203286,0.9263518031918142,0.9470305138316432
1255.453,0.890805635884444,0.9199095794040673,0.8569072099441112,0.8676282559487732,0.9094794751693436,0.8848969823232969,0.8941759561582941,0.8924735439365541,0.8882723909993676,0.915166091765462
1257.381,0.855574155129663,0.8852587579671491,0.8185510904511941,0.8328182289429475,0.8803833311028323,0.8516148875187608,0.858897123250189,0.8567976406723611,0.8518296075062701,0.8845193586246332
1259.31,0.8217839602404003,0.8520246755733402,0.7818997846054832,0.7995886422978069,0.8523682412042536,0.8198729895530896,0.8251186590529265,0.8226123896817928,0.8169845101390296,0.8550630011846413
1261.238,0.789401746376536,0.8201741066483783,0.7469116544295467,0.7678991915339903,0.8254095921125668,0.7896331125365361,0.792805125119566,0.7898827450188929,0.7836981563241541,0.8267697062209719
1263.167,0.7583942086979494,0.7896738256180015,0.713545061945953,0.7377095721721374,0.7994827704667312,0.7608570805793526,0.7619210830031669,0.7585736607377047,0.7519316034881514,0.7996121605091101
1265.095,0.7287280423645203,0.7604906069079473,0.6817583691772708,0.7089794797328869,0.7745631629057065,0.7335067177917923,0.732431094256788,0.7286500908922717,0.7216459090575298,0.7735630508245409
1267.024,0.700369942536128,0.7325912249439538,0.6515099381460683,0.6816686097368783,0.7506261560684517,0.7075438482841074,0.7042997204334887,0.7000769895366374,0.6928021304587969,0.7485950639427497
1268.952,0.6732866043726526,0.7059424541517585,0.6227581308749139,0.6557366577047508,0.7276471365939265,0.6829302961665509,0.6774915230863281,0.6728193107248452,0.6653613251184609,0.7246808866392214
1270.88,0.6474447230339734,0.6805110689570996,0.595461309386376,0.6311433191571434,0.7056014911210902,0.6596278855493751,0.6519710637683656,0.6468420085109385,0.6392845504630298,0.7017932056894414
1272.809,0.6228109936799701,0.6562638437857145,0.5695778357030231,0.6078482896146956,0.6844646062889022,0.637598440542833,0.62770290403266,0.622110036948961,0.6145328639190113,0.6799047078688947
1274.738,0.5993521114705223,0.6331675530633412,0.5450660718474234,0.5858112645980466,0.6642118687363218,0.616803785257177,0.6046516054322708,0.5985883500929561,0.5910673229129136,0.6589880799530665
1276.6660000000004,0.5770347715655098,0.6111889712157176,0.5218843798421456,0.5649919396278353,0.6448186651023085,0.5972057438026599,0.5827817295202573,0.5762419019969671,0.5688489848712448,0.6390160087174421
1278.594,0.5558256691248118,0.5902948726685814,0.4999911217097579,0.5453500102247013,0.6262603820258215,0.5787661402895345,0.5620578378496783,0.5550356467150375,0.5478389072205125,0.6199611809375065
1280.523,0.5356914993083085,0.5704520318476705,0.4793446594728288,0.5268451719092835,0.6085124061458205,0.5614467988280532,0.5424444919735932,0.5349345383012108,0.5279981473872248,0.601796283388745
1282.452,0.5165989572758791,0.5516272231787225,0.45990335515392655,0.5094371202022214,0.5915501241012647,0.5452095435284687,0.5239062534450614,0.5159035308095306,0.5092877627978899,0.5844940028466427
