Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,OK14MI01,WD35MI04A,OK14MI06C,FI45MI02,WD70MI03,Terry3MI03,WD70MI01A,WD35MI02,FI45MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,SH63MI24
1400.09,-0.001408447727730966,-0.0019856409725310664,-0.006946735695808615,-0.0031682311760027337,-0.0015752236496145988,-0.007783139860501942,-0.0030078430202944983,-0.003774572120621822,-0.0030074272182557538,-0.003506849216782598,-0.0030570455497421767,-0.003660599880592863,-0.000533781843106429,-0.002355845404001855,-0.0014682480229022965,-0.0010563112308273614,-0.004830801585704314,-0.0038355049878517344,-0.0006229650329770409,-0.004952343325878961,-0.0033502915938017352,-0.0030946564744529503,-0.005789989332300016,-0.003034747549579664,-0.0020725807086490744,-0.002749914687032562,-0.003363712186327028,-0.0006717861669195968,-0.004113250112337874,-0.003587755441990914,-0.004614394366318386
1402.0179999999998,-0.002612676863290253,-0.0018986603173304362,-0.006987333417871833,-0.00300170265924804,-0.0014176180871372512,-0.007468430391252001,-0.0030530702143011512,-0.0037680972139042535,-0.002942561395497534,-0.0031933034421501028,-0.003133392441635685,-0.003473510220718956,-0.0006894836666059834,-0.002056974161210534,-0.0013919255926204133,-0.0010851885257796012,-0.004942295926826545,-0.003772087636680077,-0.0011219473739174646,-0.0045866120607420124,-0.0031135216546349653,-0.003316275925049683,-0.00535945572974017,-0.002758098279798782,-0.0016788044447930695,-0.002420752111225055,-0.0034197350256608416,-0.0005615107246005335,-0.004191147275973417,-0.003547554494318872,-0.004818777013469
1403.9470000000001,-0.002290030545293198,-0.0016702100001311226,-0.006953258852201549,-0.002915164227891842,-0.001271374891259891,-0.007002092519068581,-0.003115654274125912,-0.0037968073895445764,-0.002940529560031213,-0.0028870765231933104,-0.0032117950637696735,-0.004060544754846407,-0.0009911348178857637,-0.0020557154431812275,-0.0014577449181326085,-0.001122535995661006,-0.00493910577637785,-0.003633566881260042,-0.0008571062520862371,-0.004206321917246958,-0.0029278986982523847,-0.003432415064554717,-0.005069776968525508,-0.0024598455266128805,-0.001278717112462413,-0.0022318830443314175,-0.003531684000388946,-0.0005584697418930529,-0.004174049700514382,-0.0035058361531414284,-0.00501227501665058
1405.875,-0.0015519889711556045,-0.0013776205853969214,-0.00676621511767983,-0.002721404921160686,-0.001080707793422897,-0.006457578898070082,-0.0031541344738058863,-0.0037228411299895514,-0.002871731089230778,-0.0025319938490053207,-0.0032161598993445395,-0.004772036944826752,-0.001218605944878992,-0.0022402647209477933,-0.0014983399403124542,-0.0010850748838511781,-0.004744383338799341,-0.003413819469392454,-0.0005423458171513462,-0.003803641707845584,-0.0027519697829107015,-0.0034075995994736763,-0.005044605869219065,-0.0020352879958407954,-0.0009727070625578649,-0.0020452717359964456,-0.0037392184360708347,-0.0005485489165784063,-0.003928415810800001,-0.003339114239432006,-0.004929708459296633
1407.8039999999999,-0.002446434799127095,-0.001350586017172417,-0.0068904145914781,-0.002635041435211538,-0.000996527018028659,-0.006170657970596016,-0.003173439954148899,-0.0036487200128609842,-0.0028223322474641988,-0.002258199897088725,-0.0033733618906930385,-0.0048213235069205496,-0.0014759801783025828,-0.0025473430385337115,-0.0015921629760696776,-0.0010607954922394747,-0.004657635521188308,-0.003256037312148352,-0.0012754329149158306,-0.003524877188833042,-0.0025608637972360793,-0.003486530757188022,-0.005108353176074609,-0.0017327073050798503,-0.0008307716401488863,-0.002128699294363212,-0.0039660215567836055,-0.0005599336928260312,-0.0036597302942463217,-0.0035548853782711998,-0.004767868113334239
1409.7320000000002,-0.002692742586023922,-0.0014622216798987897,-0.007157496884159231,-0.0026659606770634836,-0.0010222193020087977,-0.006354895945489325,-0.003165487476771117,-0.0034692578315357325,-0.0027852773881262283,-0.0021014029559997816,-0.0036858535472631404,-0.004362908062267912,-0.0016764854509618843,-0.0027036119857586915,-0.0017588133925198202,-0.001088101020374127,-0.004667566443913529,-0.003134610388587089,-0.0016564670070032816,-0.003377187536394599,-0.002323327184626467,-0.003742858771987434,-0.005142158452530299,-0.001566997233589218,-0.0008129229571713914,-0.002408814240470347,-0.0040412313676523315,-0.0005711872126918371,-0.003474724038105781,-0.004018522965708593,-0.004520441921806062
1411.661,-0.0022542536251158873,-0.0014995837733529638,-0.00737250998475647,-0.00281837665089546,-0.0011164302891798483,-0.006792479192185619,-0.0031673969524572687,-0.003300205735080053,-0.0027728144420368084,-0.0019426055737669645,-0.004061900286716491,-0.0033853668492028754,-0.001834376980650032,-0.002576273553059394,-0.00203314929111742,-0.001148683941728762,-0.0047136969529443795,-0.002989049710882985,-0.001468791749141607,-0.0033146310781695387,-0.002307830138077893,-0.004060659343147477,-0.005087490001489781,-0.0015488733020067036,-0.0009831645090269125,-0.0027931354656975937,-0.00404034531374553,-0.0005583845206508786,-0.003195773588156481,-0.0046257552121651835,-0.00421774439668815
1413.589,-0.0020677268212966338,-0.0014866253638879945,-0.007589090908906471,-0.003025444391422938,-0.001293009490032082,-0.007227950504598679,-0.0031932390717938353,-0.0033200343516680553,-0.0027497366372512544,-0.0018859549544191223,-0.004352245752563544,-0.0022972748880194516,-0.0021030391300893014,-0.0023246131403042436,-0.0024191716788011797,-0.0011769003797906519,-0.004776538683973264,-0.0028341108133974058,-0.0024288282949502804,-0.003304918695766823,-0.002359235511258495,-0.004271747231146539,-0.005119970496978432,-0.001667872918768909,-0.0013468719981673538,-0.0031996425112877924,-0.00391509795677325,-0.0005952944940363913,-0.002882107443659798,-0.005270714524302056,-0.0038859140726784647
1415.5179999999998,-0.004754449317656895,-0.001504514025110093,-0.007843159137347233,-0.0033642692527201534,-0.0014530433844926471,-0.007809230365499964,-0.003240624059345165,-0.0034317031107049534,-0.0028227693656686093,-0.0019536080389639665,-0.004549364286645763,-0.00193699444520945,-0.0026088466700360247,-0.002522576036250168,-0.002824066915835588,-0.001192625080974452,-0.004882088545038077,-0.0026812823132943975,-0.003766990018145011,-0.0033526138138838535,-0.002298521362632422,-0.0044766759638758535,-0.005334111096554017,-0.0018877943969709543,-0.0018977051251681254,-0.0035686417849797314,-0.003803851032882055,-0.0007379883293042733,-0.0025202094027254596,-0.005844062870960509,-0.0037288503126112205
1417.4460000000001,-0.003233152825135144,-0.0015517582662788465,-0.0080119227741281,-0.0036308774950586375,-0.0015656964430176834,-0.008226809201325791,-0.0032366950105650882,-0.003398071869295638,-0.002874940894166733,-0.0020773535729292913,-0.004550473751162909,-0.0018348430879007172,-0.002968242412518196,-0.002948121492841571,-0.003130228223502063,-0.0011967735498538135,-0.00490695146202258,-0.002565095273501239,-0.0044952501268912815,-0.0034540820407861217,-0.002107791967088435,-0.004665253266288583,-0.0056638936551215435,-0.0020799667184086545,-0.002452691921709216,-0.003702259894777238,-0.0036310209576796426,-0.0009087663998903484,-0.002107035832066839,-0.006285766280126781,-0.003667414938225866
