Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02
2042.28,0.02072838784275212,0.018515326186436587,0.008900762302893661,0.024222936146676782,0.026794153862349374,-0.017933007797300338,0.011430686557589942,0.004620684461880936,-0.01675625454442452,0.026922589358374577,0.02259265899489321,0.02826922032399022,-0.028803947257497187,0.005694795002589903,0.004108880201970109,-0.014373662687949817,0.015504421582737363,-0.0010555973112383876,-0.0314227299563033,0.015969389595279243,-0.01265949290938384,0.0175477591206592,0.02344257805399541,0.0019690742372519,0.0292277857673979,0.019667275875112328,0.029851015235366568,-0.026789401561519266,0.00280922903590336,-0.016259465965927616
2044.208,0.020281770661796428,0.018238504550331214,0.008433612576579125,0.023673222749489492,0.02638732672918162,-0.01851705082182048,0.010846290034107142,0.004138581317522677,-0.017490433297551164,0.02635095531564874,0.021824953251667167,0.0274710863961731,-0.029245935725686567,0.005097197668440245,0.003600362077255267,-0.014870752822669697,0.01501467494474222,-0.0013352632804722875,-0.03180122151843473,0.015116539042269755,-0.012916666565225388,0.016871541838875875,0.023058931403453997,0.0014822954932086907,0.028581926890437953,0.019000082357221004,0.029299865707776998,-0.02762514194905963,0.0023209780013911385,-0.016414883877432895
2046.137,0.01987231056597759,0.018026717126913255,0.00796901216574461,0.023122916413679417,0.02597825506041168,-0.019066688034364287,0.010274708244251252,0.0036901710795679,-0.018189634400324298,0.02580170135000362,0.021096511917522653,0.02675503287518416,-0.029565693025392525,0.004530970629527287,0.003104408917988399,-0.015282031944898966,0.014616778647441375,-0.0016109137754857783,-0.03209686548307733,0.014242663706358655,-0.013227928653259668,0.016255661969038465,0.02277867326689431,0.001061258421280159,0.02802746376117106,0.018373996000459164,0.028717861052939442,-0.02840090012247687,0.0019090644018828762,-0.01655263396329415
2048.065,0.01950165491375004,0.01787931721907582,0.007492964506045002,0.022555563092464204,0.025540125755061316,-0.019618490891925966,0.00971602494445123,0.003274349062560772,-0.018867271135132646,0.025287924631804848,0.020385015316763705,0.025947470903848885,-0.0299708784417011,0.003960873229513662,0.002595330679889383,-0.015655176997469322,0.014270030132138914,-0.0019696137255522106,-0.03238337758780824,0.013323065589661398,-0.01361778736031638,0.015663168985860093,0.022574916688812452,0.0006597306102276157,0.027450915529580677,0.01777982366218711,0.02810604001624724,-0.029383086761412103,0.0015538039212415478,-0.016696666352121553
2049.994,0.019162769745999134,0.017786721951508794,0.007048873749427059,0.021999534898944184,0.025131256296705956,-0.02016253934313339,0.0091959254395802,0.0028771532697676183,-0.01956899694664093,0.024788784575926787,0.019718841322775266,0.025073360702228417,-0.030423140802002646,0.0033944424873847967,0.002083745985343545,-0.015981281298752925,0.013904694054109198,-0.002335163602229906,-0.032603443396076126,0.01244184382378466,-0.014055039382302736,0.015126819643352718,0.022436396876617082,0.00031815974858812046,0.026902217882629753,0.017232855491562032,0.02752871703078824,-0.030531477804870255,0.0012509682883667939,-0.016842043632786408
2051.922,0.01881813189793144,0.017697759945869224,0.006618960476317354,0.021444455407220675,0.02472246772251646,-0.020686538113047104,0.008734818379488363,0.002480233648338409,-0.020397707014515667,0.024358117445819394,0.01911329485603458,0.024319302568945045,-0.030684421359618796,0.0028139562233642224,0.001550671374023098,-0.01627228279597359,0.013530173855852826,-0.0026596611601129583,-0.03290815914260481,0.011583221075802147,-0.014541997577909305,0.014613139334763714,0.022313400196190547,3.1940743387581794e-05,0.026283357620947814,0.016717086846475465,0.026984498568411452,-0.031615286228402095,0.0009687026230080775,-0.016990110697125915
2053.851,0.01846908148257534,0.017556074488830203,0.00620786279616975,0.020873811276648974,0.024284520406539195,-0.021183710828546587,0.00833937635968085,0.002110900477598404,-0.02132963552298084,0.024035950032319148,0.01862189758785357,0.023718350260762897,-0.03067365488363838,0.0022422291976240682,0.001034174365515935,-0.016466583178377125,0.01324119848291129,-0.00290743953994943,-0.03319184758012611,0.01079844744047409,-0.015030862867524364,0.014121561334245025,0.022183867460282336,-0.00023776344562956298,0.025836411556168226,0.016275863632637638,0.0264510406304969,-0.032594405930135295,0.0006858941390621154,-0.017144183716793854
2055.779,0.018128169802440128,0.017327402391859703,0.005815827416934011,0.02028534934046239,0.023819901536873966,-0.02169150219058502,0.007978804933119588,0.0017341106800314032,-0.022332210865015648,0.023699214888973696,0.018176232879670184,0.023058980328632336,-0.030475143584679287,0.0016430022377478815,0.0005132191628464747,-0.016643332158749136,0.013031498973617467,-0.003130983351843919,-0.03349019505592682,0.0100303956790678,-0.01556237402528221,0.013654768144143736,0.02200256619402563,-0.0005497755085231704,0.02541046359832004,0.015849216075005557,0.025930987628732666,-0.03351307158125255,0.0004722236014893799,-0.01730275199137024
2057.708,0.017798884419967756,0.017023807495532117,0.005451900296764928,0.01971215557381273,0.023350085859553116,-0.02217877231959181,0.007678175190865499,0.0013455068852281926,-0.02334868233486989,0.023311492691170166,0.017727425196745805,0.02239741093156568,-0.03024866055890818,0.0010517197032887116,-4.876720018813681e-06,-0.016828613590428587,0.012834803447490273,-0.0033289226104739056,-0.03381491678502524,0.009319191292395473,-0.01609522420649262,0.01328613187090874,0.02176786238354983,-0.0008603810898187292,0.0249270811542166,0.015420996632880685,0.025376919372889897,-0.03418219470733913,0.00033997585200096214,-0.017466681410120116
2059.636,0.017469105483672837,0.016655401790972274,0.0051056210185962125,0.01913676793425867,0.022852284260849287,-0.022670338808875812,0.007362273859735757,0.0009503363491041028,-0.024339710305671954,0.02281308791503195,0.017358512842741536,0.02190291849267742,-0.030134838500749328,0.0004901099372676965,-0.0005099892538476545,-0.017015129982165755,0.01260669914403087,-0.0035480257802892323,-0.03411374488503183,0.008684039947367411,-0.016631888575719678,0.01297469712659427,0.021489089714145038,-0.0011495264841506203,0.02430274919275717,0.015000636613219737,0.02477627216428481,-0.0346442405927303,0.00020875660088837122,-0.017656495390945076
