Wavenumber,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH63MI39,WD23MI03A,SH01MI12B,CV09EMI05,FI38MI01B,OK14MI07,OK14MI12,AK96MI13,OK14MI01,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,WD35MI02,WD07MI01A,WD70MI01B,OK14MI09,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,JFL30AMI12,VS73MI02
3760.572,0.1791019,0.38497155,0.189962675,0.164009067,0.2381034,0.5419226,0.330961467,0.06207942,-0.06773941,0.34531825,0.14731175,0.05507319,0.1896998,0.10205841,-0.028426019,0.1841124,0.073942335,0.133137767,0.33828515,0.089087427,0.223984867,0.24654855,0.303698133,0.1758865,0.217555278,0.129005333,0.10263761,0.17104565,0.1836313,0.54684635
3762.5,0.179700567,0.3853838,0.189111875,0.1636583,0.238010467,0.540874533,0.330590867,0.062016858,-0.06883125,0.34426345,0.14733465,0.055209075,0.189412467,0.101806417,-0.028743001,0.1836158,0.07390238,0.132932367,0.33806415,0.088754737,0.223739933,0.24651005,0.3033777,0.1752608,0.216623222,0.128623333,0.102788543,0.1704195,0.183446767,0.547064175
3764.429,0.180153033,0.385862675,0.18816335,0.163340167,0.238008367,0.539636367,0.3301857,0.061776533,-0.069849843,0.3435014,0.14747655,0.05536859,0.189133033,0.101639083,-0.029045383,0.183117667,0.073708875,0.1326934,0.33815645,0.088116593,0.223472767,0.24640225,0.3029987,0.174675967,0.216435278,0.128311767,0.103016587,0.16995815,0.183311267,0.547317225
3766.358,0.180094767,0.38598375,0.186507625,0.163069467,0.2383527,0.537975633,0.3295101,0.061175133,-0.07047908,0.3432965,0.1476136,0.055294635,0.189073433,0.10148127,-0.02928933,0.1823797,0.073626735,0.1323072,0.3381303,0.087506653,0.2230487,0.2458388,0.3025932,0.174014533,0.216361367,0.128012367,0.103135603,0.16944325,0.182843633,0.547419625
3768.286,0.180106833,0.386021175,0.1850006,0.162816,0.238702467,0.536262967,0.328720667,0.060637235,-0.070832217,0.34297075,0.14762775,0.055110685,0.188823933,0.101319343,-0.02960198,0.1817108,0.073522395,0.131828567,0.3377961,0.086967273,0.2225932,0.24527525,0.302174367,0.173370433,0.216766822,0.1277762,0.10318194,0.16880475,0.182173433,0.54756055
3770.215,0.180317633,0.3862184,0.183707275,0.162578533,0.238920433,0.5347362,0.328013233,0.060217415,-0.071121663,0.3423429,0.14768585,0.05477952,0.188846867,0.10119639,-0.029908433,0.1811863,0.073249395,0.131550733,0.3376844,0.086503463,0.2223188,0.24507165,0.3017989,0.172747267,0.2173633,0.127585267,0.103341723,0.1684192,0.181621833,0.54764545
3772.143,0.180552567,0.386497875,0.182605225,0.162312633,0.2392173,0.533359533,0.327387567,0.059939657,-0.071490043,0.34179525,0.14777965,0.05446562,0.1891567,0.101087793,-0.030139762,0.1806627,0.072872005,0.131373033,0.3374289,0.086062787,0.222050833,0.2449059,0.301414467,0.172090133,0.216793278,0.127398033,0.10344007,0.16793905,0.181079133,0.5477652
3774.072,0.1807041,0.3867036,0.181550675,0.162057867,0.239456167,0.532081233,0.326754633,0.059707438,-0.071807513,0.34185375,0.1479365,0.05458407,0.189277933,0.10102091,-0.03027387,0.180115167,0.07240369,0.131168633,0.3368717,0.085675437,0.2217454,0.2446723,0.3010337,0.171454967,0.216259811,0.1272361,0.10339202,0.1673438,0.180452433,0.548038775
3776,0.1808603,0.386877375,0.180437425,0.1617968,0.239465467,0.5308201,0.326104733,0.059405303,-0.072175773,0.34186405,0.14797965,0.05466604,0.189067067,0.100923203,-0.030413925,0.179652133,0.07197819,0.130952267,0.33631295,0.085312433,0.221463933,0.2444036,0.3007063,0.170865067,0.216088811,0.1270706,0.103360573,0.16673355,0.179867033,0.5484374
3777.928,0.181136,0.38702595,0.179386125,0.161592733,0.2394512,0.529664567,0.325581367,0.059187583,-0.072672477,0.34144305,0.14808505,0.0546789,0.188787667,0.100796763,-0.030567418,0.179350867,0.07170578,0.1308293,0.3360814,0.085078707,0.2213245,0.24420285,0.300481333,0.170339233,0.215778078,0.1268633,0.103419913,0.16610565,0.1793556,0.5488683
3779.857,0.181482067,0.3870598,0.178454925,0.161410067,0.239494433,0.528549733,0.325064133,0.059037448,-0.073184407,0.34100055,0.1481865,0.054601905,0.188685,0.100656017,-0.030728621,0.179122,0.07159282,0.1306851,0.33574755,0.084851633,0.221197567,0.2439749,0.30024,0.169852,0.215658967,0.1266253,0.103534973,0.16562475,0.1787888,0.549279425
