X,Y,,,,Microprobe Profile,Distance,Mg #,,,,
24.9206,55.682,,,,,,,,,,
25.0794,58.455,,,,,,,,,,
25.2381,58.273,,,,,,,,,,
25.3968,59.136,,,,,,,,,,
25.5556,58.318,,,,,,,,,,
25.7143,59.955,,,,,,,,,,
25.873,57.909,,,,,,,,,,
26.0317,61.636,,,,,,,,,,
26.1905,61.182,,,,,,,,,,
26.3492,63.727,,,,,,,,,,
26.5079,68.364,,,,,,,,,,
26.6667,65.636,,,,,,,,,,
26.8254,68.727,,,,,,,,,,
26.9841,65.182,,,,,,,,,,
27.1429,67.136,,,,,,,,,,
27.3016,67.636,,,,,,,,,,
27.4603,67.727,,,,,,,,,,
27.619,71.591,,,,,,,,,,
27.7778,73.136,,,,,,,,,,
27.9365,70.318,,,,,,,,,,
28.0952,74.682,,,,,,,,,,
28.254,73.955,,,,,,,,,,
28.4127,71.409,,,,,,,,,,
28.5714,74.909,,,,,,,,,,
28.7302,75.227,,,,,,,,,,
28.8889,75.318,,,,,,,,,,
29.0476,77.318,,,,,,,,,,
29.2063,78.864,,,,,,,,,,
29.3651,83.364,,,,,,,,,,
29.5238,79.955,,,,,,,,,,
29.6825,77.227,,,,,,,,,,
29.8413,82.5,,,,,,,,,,
30,83.636,,,,,,,,,,
30.1587,83.455,,,,,,,,,,
30.3175,86.909,,,,,,,,,,
30.4762,85.455,,,,,,,,,,
30.6349,84.364,,,,,,,,,,
30.7937,87.591,,,,,,,,,,
30.9524,88.773,,,,,,,,,,
31.1111,89.455,,,,,,,,,,
31.2698,90.636,,,,,,,,,,
31.4286,86.864,,,,,,,,,,
31.5873,89.773,,,,,,,,,,
31.746,91.409,,,,,,,,,,
31.9048,93.136,,,,,,,,,,
32.0635,93.409,,,,,,,,,,
32.2222,94.955,,,,,,,,,,
32.381,95.773,,,,,,,,,,
32.5397,96.545,,,,,,,,,,
32.6984,96.455,,,,,,,,,,
32.8571,97.091,,,,,,,,,,
33.0159,97.773,,,,,,,,,,
33.1746,100.864,,,,,,,,,,
33.3333,100.227,,,,,,,,,,
33.4921,102.455,,,,,,,,,,
33.6508,101.136,,,,,,,,,,
33.8095,101.227,,,,,,,,,,
33.9683,102.955,,,,,,,,,,
34.127,102.818,,,,,,,,,,
34.2857,106.955,,,,,,,,,,
34.4444,103.273,,,,,,,,,,
34.6032,105.409,,,,,,,,,,
34.7619,105.636,,,,,,,,,,
34.9206,106.682,,,,,,,,,,
35.0794,106.591,,,,,,,,,,
35.2381,108.591,,,,,,,,,,
35.3968,109.591,,,,,,,,,,
35.5556,109.591,,,,,,,,,,
35.7143,111.182,,,,,,,,,,
35.873,110.591,,,,,,,,,,
36.0317,111.091,,,,,,,,,,
36.1905,110.182,,,,,,,,,,
36.3492,111.091,,,,,,,,,,
36.5079,113.909,,,,,,,,,,
36.6667,111.818,,,,,,,,,,
36.8254,111.273,,,,,,,,,,
36.9841,113.773,,,,,,,,,,
37.1429,115.364,,,,,,,,,,
37.3016,120.727,,,,,,,,,,
37.4603,117.273,,,,,,,,,,
37.619,116.818,,,,,,,,,,
37.7778,118.409,,,,,,,,,,
37.9365,121.318,,,,,,,,,,
38.0952,119.864,,,,,,,,,,
38.254,117.318,,,,,,,,,,
38.4127,118.818,,,,,,,,,,
38.5714,121.773,,,,,,,,,,
38.7302,123.091,,,,,,,,,,
38.8889,123.864,,,,,,,,,,
39.0476,124.455,,,,,,,,,,
39.2063,122.818,,,,,,,,,,
39.3651,121.045,,,,,,,,,,
39.5238,123.591,,,,,,,,,,
39.6825,125.682,,,,,,,,,,
39.8413,127.227,,,,,,,,,,
40,127.955,,,,,,,,,,
40.1587,125.5,,,,,,,,,,
40.3175,127.682,,,,,,,,,,
40.4762,125.864,,,,,,,,,,
40.6349,127,,,,,,,,,,
40.7937,127.364,,,,,,,,,,
40.9524,128.682,,,,,,,,,,
41.1111,128.727,,,,,,,,,,
41.2698,130.318,,,,,,,,,,
41.4286,131.455,,,,,,,,,,
41.5873,125.818,,,,,,,,,,
41.746,129.955,,,,,,,,,,
41.9048,132.545,,,,,,,,,,
42.0635,132.091,,,,,,,,,,
42.2222,131.955,,,,,,,,,,
42.381,133.227,,,,,,,,,,
42.5397,133.864,,,,,,,,,,
42.6984,135.727,,,,,,,,,,
42.8571,135.773,,,,,,,,,,
43.0159,134.227,,,,,,,,,,
43.1746,133.955,,,,,,,,,,
43.3333,134.864,,,,,,,,,,
43.4921,135.364,,,,,,,,,,
43.6508,138.545,,,,,,,,,,
43.8095,140.545,,,,,,,,,,
43.9683,140.227,,,,,,,,,,
44.127,137.636,,,,,,,,,,
44.2857,138,,,,,,,,,,
44.4444,138.864,,,,,,,,,,
44.6032,135.727,,,,,,,,,,
44.7619,138.409,,,,,,,,,,
44.9206,138.409,,,,,,,,,,
45.0794,139.182,,,,,,,,,,
45.2381,136.773,,,,,,,,,,
45.3968,138.182,,,,,,,,,,
45.5556,139.409,,,,,,,,,,
45.7143,138.227,,,,,,,,,,
45.873,142.273,,,,,,,,,,
46.0317,142.091,,,,,,,,,,
46.1905,138.682,,,,,,,,,,
46.3492,140.864,,,,,,,,,,
46.5079,140.318,,,,,,,,,,
46.6667,141.636,,,,,,,,,,
46.8254,143.364,,,,,,,,,,
46.9841,140.591,,,,,,,,,,
47.1429,141.091,,,,,,,,,,
47.3016,145.364,,,,,,,,,,
47.4603,145.318,,,,,,,,,,
47.619,142.364,,,,,,,,,,
47.7778,146.273,,,,,,,,,,
47.9365,145.864,,,,,,,,,,
48.0952,142.955,,,,,,,,,,
48.254,144.5,,,,,,,,,,
48.4127,145.455,,,,,,,,,,
48.5714,143.773,,,,,,,,,,
48.7302,139.227,,,,,,,,,,
48.8889,143.636,,,,,,,,,,
49.0476,146.909,,,,,,,,,,
49.2063,145.136,,,,,,,,,,
49.3651,142.591,,,,,,,,,,
49.5238,143.318,,,,,,,,,,
49.6825,143.045,,,,,,,,,,
49.8413,143.727,,,,,,,,,,
50,143.136,,,,,,,,,,
50.1587,141.091,,,,,,,,,,
50.3175,140.727,,,,,,,,,,
50.4762,142.318,,,,,,,,,,
50.6349,142.318,,,,,,,,,,
50.7937,140.864,,,,,,,,,,
50.9524,141.136,,,,,,,,,,
51.1111,143.773,,,,,,,,,,
51.2698,142.591,,,,,,,,,,
51.4286,139.182,,,,,,,,,,
51.5873,139.318,,,,,,,,,,
51.746,138.773,,,,,,,,,,
51.9048,143.682,,,,,,,,,,
52.0635,146.773,,,,,,,,,,
52.2222,140.909,,,,,,,,,,
52.381,141.773,,,,,,,,,,
52.5397,142.636,,,,,,,,,,
52.6984,141.182,,,,,,,,,,
52.8571,141.909,,,,,,,,,,
53.0159,140.5,,,,,,,,,,
53.1746,142.091,,,,,,,,,,
53.3333,140.955,,,,,,,,,,
53.4921,139.091,,,,,,,,,,
53.6508,138.545,,,,,,,,,,
53.8095,140.409,,,,,,,,,,
53.9683,141.5,,,,,,,,,,
54.127,142.636,,,,,,,,,,
54.2857,142.5,,,,,,,,,,
54.4444,141.955,,,,,,,,,,
54.6032,143.5,,,,,,,,,,
54.7619,143.091,,,,,,,,,,
