Wavenumber,Average_Baseline,PCA_1,PCA_2,PCA_3,PCA_4
1251.596,0.5,8.130447929316781e-21,-7.046911584033449e-17,1.433609741925374e-16,-6.009775965040262e-16
1253.524,0.4612026065212605,0.007007950420902334,-0.010998259292703963,-0.0033440615831369213,0.03175463989808513
1255.453,0.4242267693135566,0.01341836470993234,-0.021146125349904173,-0.006433838699253,0.058937229523421134
1257.381,0.3890024176174073,0.019274955837793328,-0.030487078771578694,-0.009293978871445554,0.08194884988263555
1259.31,0.3554518590133408,0.024623000133906763,-0.039069319099470534,-0.01194616797194124,0.10119858385365989
1261.238,0.3235098935540936,0.029501161683368242,-0.046932534730814025,-0.014410933721580955,0.1170392671960752
1263.167,0.29310581633108196,0.03394851787470134,-0.05411970509235693,-0.01670583825073767,0.1298212781273132
1265.095,0.26417907153079423,0.03799899144849072,-0.06066693019257097,-0.018847627515453526,0.13985204720890282
1267.024,0.23666533760068387,0.04168605769137584,-0.06661244274629513,-0.020850211433580318,0.14742884497619524
1268.952,0.21050845268938315,0.045039227607641806,-0.0719889759618232,-0.022726908137899755,0.15281674692226851
1270.88,0.18565076205131528,0.04808681536139623,-0.07682993785591648,-0.024488668919219202,0.15626522654886385
1272.809,0.16203763092053305,0.05085467422319151,-0.08116653575556089,-0.02614504090005148,0.15800050209991015
1274.738,0.13961837568036642,0.0533663789956383,-0.08502725935384775,-0.027704696969704942,0.15822937719460697
1276.6660000000002,0.11834392167011691,0.055643819549669515,-0.08843937133199446,-0.029174979462705124,0.1571422044000869
1278.594,0.09816607043414427,0.05770710562326468,-0.09142932785161574,-0.030561680472889274,0.15491010226743418
1280.5230000000001,0.07903899074560844,0.05957449863803708,-0.0940218876197587,-0.03186963675969046,0.15168667850751652
1282.452,0.06091942061035587,0.06126282420710963,-0.09624007065520973,-0.03310304415716915,0.14761352248130674
1284.38,0.04376548312248306,0.06278755593995786,-0.0981058778471165,-0.03426515592123927,0.14281885926530735
1286.308,0.02753652001614817,0.06416258426897754,-0.0996403454665345,-0.035358279533727305,0.1374140045961298
1288.237,0.012193651750618421,0.06540050791206911,-0.10086326867116208,-0.036384181197354606,0.13149796880689504
1290.1660000000002,-0.0023004510069261444,0.06651311066006972,-0.10179343583769293,-0.037344195112701324,0.12516303917602428
1292.094,-0.015982013639304436,0.06751120562025338,-0.10244886530702538,-0.038239128881180716,0.11849169368797668
1294.022,-0.028886006068136523,0.06840439305838598,-0.10284665852490447,-0.039069445175346516,0.11155345835951251
1295.951,-0.04104615772940041,0.06920149734390903,-0.10300309665707623,-0.03983545823236991,0.10441036201844374
1297.88,-0.05249541096750379,0.06991101547862386,-0.10293401515500428,-0.040537283271572126,0.09712176379688746
1299.808,-0.0632659131583468,0.07054086814712164,-0.10265474374641746,-0.04117491781988232,0.08974091571332245
1301.736,-0.07338866477723861,0.07109814590459772,-0.10217982040625734,-0.04174848318610037,0.08231221016236848
1303.665,-0.0828937951694991,0.07158948058922458,-0.10152323412193531,-0.042258152769933235,0.07487555583775615
1305.594,-0.09181103635898158,0.07202133260752112,-0.10069878600576712,-0.042703905712270514,0.06746929821856755
1307.522,-0.10016943137004776,0.07239969525073402,-0.0997198344665274,-0.04308568969624311,0.06012686580611531
1309.45,-0.10799693290401483,0.0727299111948355,-0.09859898151980455,-0.04340372072105756,0.05287508491096011
1311.379,-0.11532083259452376,0.07301699239867394,-0.09734840917688653,-0.04365828253543966,0.04573760767515532
1313.307,-0.12216843189382344,0.07326588878433425,-0.09598037995055658,-0.04384927773415932,0.038737232915148606
1315.236,-0.12856564611847202,0.07348087061880061,-0.09450616224757398,-0.043977233801887575,0.031890313556176234
