Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2,1630_Peak_PCA_3
1486.872,0.02919688443826725,-0.012287589459271985,-0.006934969067911747,-0.04248800526214543
1488.801,0.030071335566187584,-0.01278767350623011,-0.009937319653093338,-0.040284896351637504
1490.729,0.03136640070313501,-0.013208738088154684,-0.01323062306097681,-0.037558832459579236
1492.658,0.032997221104755,-0.013520986901382889,-0.01667839079321499,-0.03434035965501964
1494.586,0.03357855110419408,-0.013840526033477867,-0.02038455935276021,-0.03124893416632863
1496.515,0.03370541196874747,-0.014134053177108972,-0.02436459690641705,-0.028356595374107552
1498.443,0.034108306818547686,-0.014434436888693898,-0.028614143764942694,-0.025789803783919225
1500.372,0.030992699491546174,-0.01477559243191669,-0.03300751502772189,-0.02359523866151141
1502.3,0.03093168766483299,-0.0151239326918412,-0.037428745805896765,-0.021972437830026927
1504.229,0.03119120818102463,-0.015514638596248352,-0.04176853232847307,-0.020747759376135218
1506.157,0.0325534214686522,-0.0159505739170312,-0.04585235242793227,-0.019956075342240635
1508.086,0.034388619599638584,-0.01668212695208473,-0.050216246232438935,-0.020828962164971394
1510.014,0.035367113827112495,-0.01774045015725955,-0.05475624277272288,-0.02328611680011809
1511.943,0.03648093877351433,-0.018845972155676592,-0.058676389814916165,-0.025479197486642374
1513.871,0.03785682241942508,-0.01996873047814958,-0.06192110084341849,-0.027344670174519206
1515.8,0.039815393683060904,-0.021204567030769023,-0.06476229104343662,-0.029437190674232793
1517.728,0.04184310558066009,-0.022483251593368878,-0.06703527731145122,-0.03119437828206388
1519.657,0.04402963709339477,-0.023767686446188072,-0.06881222318055263,-0.032470199334855225
1521.585,0.04542666502950372,-0.025051638388733626,-0.07030351933969294,-0.033418419541490545
1523.514,0.04670017521859778,-0.02640946528225449,-0.0718078085203149,-0.034201251676610075
1525.442,0.04885312849695712,-0.027776994729397615,-0.07340661293037166,-0.03489042964536834
1527.371,0.05138439072187543,-0.029102784474396366,-0.0749623801119898,-0.03500964905772476
1529.299,0.05282868334366535,-0.030327200645477385,-0.0764603162816393,-0.03434539645040506
1531.228,0.054257105972413955,-0.03147576217469289,-0.07809112281899674,-0.033175832765147684
1533.156,0.0558410968915807,-0.032604049683597876,-0.07991149079043842,-0.03153084913740386
1535.085,0.057919187778052196,-0.03377433184282095,-0.08200005473426951,-0.02965264575419576
1537.013,0.05914218358954177,-0.03496896230709855,-0.0844194313251595,-0.02792805156654417
1538.942,0.06076995433965812,-0.036238408124921344,-0.0871617643405119,-0.026555037762214448
1540.87,0.06276944663912004,-0.03755587404319269,-0.0901227961836254,-0.02585740679335229
1542.799,0.06526399547530719,-0.03891788730265206,-0.09308123036128607,-0.025843159155701713
1544.727,0.0689156730497864,-0.04034786335492953,-0.09582431250552197,-0.026441555189539036
1546.656,0.07123920628764166,-0.041855063956008895,-0.09840332292987716,-0.02817222359420147
1548.584,0.07314468199773133,-0.043403083820874586,-0.1007397825307461,-0.03126832612671227
1550.513,0.07550449284174315,-0.04501146520337212,-0.10253947105997871,-0.03521509261893266
1552.441,0.07843009006038315,-0.04661253968841595,-0.10365255000956096,-0.03984462219997561
1554.37,0.08143439574362678,-0.048233638104872155,-0.10438750328087042,-0.04486068317039164
1556.298,0.08392549961852905,-0.049863482671510855,-0.10467070770565341,-0.05083001733653747
1558.227,0.08637947760395503,-0.051587532605852776,-0.10450214966114056,-0.057538044829418065
1560.155,0.09001432070264241,-0.05342406941199264,-0.10364000686018722,-0.06402211144848162
1562.084,0.0950427126241419,-0.05532960982147022,-0.1019509486123097,-0.06962599892118522
1564.012,0.09969719650438924,-0.057291769731838756,-0.09981338489342972,-0.07508403646360408
1565.941,0.10488230203910706,-0.05935013751882104,-0.09741937287549203,-0.0805717637629751
1567.869,0.11053773083579094,-0.06145519951086248,-0.09464918093643263,-0.08573864984900667
1569.798,0.11638401566106817,-0.06353516333157311,-0.0913662065864535,-0.08990350253903118
1571.726,0.12243376691996932,-0.06566251068944373,-0.08803388122373373,-0.09348154092022355
1573.655,0.12746986952984807,-0.06785518896013391,-0.08489619835002203,-0.09649529530475616
1575.583,0.13304307441721872,-0.07000945970435218,-0.08190186794179828,-0.09874282224831454
1577.512,0.14005304144114036,-0.07210790514198617,-0.07913346824267266,-0.10027737698877265
1579.44,0.14795631269845055,-0.07417871777881342,-0.07682458226277376,-0.10145652957411437
1581.369,0.15611734732846178,-0.07617447389785946,-0.07512837234067803,-0.10223478384802658
1583.297,0.16493618550259684,-0.07807603362223522,-0.0740459387538102,-0.10246137190617809
1585.226,0.17487571660146856,-0.0799293167653851,-0.07385097713235526,-0.10222866025764488
1587.154,0.18627188404520617,-0.08175899895554443,-0.07464723161872004,-0.10182252758388934
1589.083,0.19908672019419754,-0.08337335446895089,-0.07615093215950652,-0.10081541138723935
1591.011,0.21321530826551943,-0.08466152892514994,-0.07849624973123999,-0.10014758247816656
1592.94,0.229472437519002,-0.08561834261063757,-0.08161522239050803,-0.10017750614568913
1594.868,0.2472671292655025,-0.08613093015107194,-0.08507971731227201,-0.10056373206806604
1596.797,0.2672541370838023,-0.08609685563738743,-0.08850906380059963,-0.10109062107915677
1598.725,0.2902557997702497,-0.08522124798412789,-0.09138892224731518,-0.1015028970626139
1600.654,0.31653419533061916,-0.08342594712410169,-0.09369437000401064,-0.10284044607783642
1602.582,0.3454009281337402,-0.0807674800740811,-0.09513990278029892,-0.10532294753057994
1604.511,0.3759359026734824,-0.07711639353130198,-0.09509077481518788,-0.10798735660942475
1606.439,0.4109323894373079,-0.07237128080114807,-0.09316181921319916,-0.11006411727928346
1608.368,0.4498827406331018,-0.0666885659360243,-0.0894906217007405,-0.11149964317785724
1610.296,0.4907031706886829,-0.06012799278435152,-0.08414942505456025,-0.11232985625586464
1612.225,0.5349843233513594,-0.05293932958388601,-0.07754411423030144,-0.11328405246209361
1614.153,0.5816357595653409,-0.04538644568351686,-0.06983043344804445,-0.11412708920664871
1616.082,0.6298132757192563,-0.03762578697396189,-0.06104672998494862,-0.11413269019953888
1618.01,0.6798202675691706,-0.02998163952590957,-0.051621899164863864,-0.11323229766729605
1619.939,0.7299483080554922,-0.022723936665951065,-0.04189109931635712,-0.11080506779487526
1621.867,0.7779690640643085,-0.01615071339060517,-0.032236326348183256,-0.10643060221628776
1623.796,0.8234520435198175,-0.010618575829075187,-0.023016521270151753,-0.09982953355049354
1625.724,0.8656521798113487,-0.00637945357844289,-0.014529088560401934,-0.09076728814395157
1627.653,0.9029888305627377,-0.0036280327036011108,-0.007272704719744791,-0.07976370295223609
1629.581,0.9335738920839103,-0.0025752033021989875,-0.0017250219191679848,-0.06746183513024816
1631.51,0.9572811999085038,-0.003354964471875459,0.002004144760417968,-0.05359408865158128
1633.438,0.9768920776604679,-0.006033867339058104,0.003960985322795874,-0.03747984275584065
1635.367,0.9886134763966345,-0.010575986144033689,0.004096879941170299,-0.019286878882420613
1637.295,0.990540361856358,-0.016884755061112144,0.0022708606066303393,6.71849741362919e-05
1639.224,0.9873211854924717,-0.024864526213859362,-0.0014342093207249044,0.020048878829996116
1641.152,0.979909219883122,-0.03424930174714752,-0.006725749940599708,0.04047336844685579
1643.081,0.9636277016268991,-0.044883415698305236,-0.013432783666477734,0.06077718074924794
1645.009,0.9424065825626341,-0.05649812153262296,-0.021153345418238302,0.08058975047424567
1646.938,0.9160776053055726,-0.06869945939713926,-0.029415811071551078,0.09954393317653608
1648.866,0.885842586166997,-0.0812667553479358,-0.037776098607638704,0.11738449789470722
1650.795,0.8514902581384131,-0.09387319860573501,-0.0457263748244135,0.1336996794589891
1652.723,0.8149187823579414,-0.10608233113188442,-0.05292289099127358,0.1476030456302854
1654.652,0.7778119545391932,-0.11767653064435818,-0.059010621921099175,0.15887654899707285
1656.58,0.7403604211826438,-0.12837954208084787,-0.06365416949780818,0.16727229125572707
1658.509,0.7006460420198238,-0.13794690291965486,-0.06656076739018556,0.17269144200110972
1660.437,0.6607576433361659,-0.14624631271339503,-0.06753910773861933,0.1752116466492955
1662.366,0.6207277529691089,-0.15318904861274982,-0.06650551340699956,0.17488288438937108
1664.294,0.5802247403322067,-0.15877460992677211,-0.06359907908548376,0.17158797159556702
1666.223,0.5417185784080959,-0.1630348696395828,-0.058844372005119716,0.16581775835595156
1668.151,0.5051992850090405,-0.1659476558880926,-0.052428068786646034,0.15779993355354913
1670.08,0.46683544588920434,-0.16760801793639132,-0.0445684060806065,0.14797146484209645
1672.008,0.43203357327481906,-0.16818962133310858,-0.035498959857653625,0.13658503163627517
1673.937,0.3978027763939426,-0.16778530600978483,-0.025484413984487413,0.12401001024273128
1675.865,0.3658332458269556,-0.16666439772816155,-0.015027095740786277,0.11059380873187584
1677.794,0.335600906024462,-0.1649488529080356,-0.004344559649022896,0.0969146083301628
1679.722,0.3066754779879271,-0.1626282531783324,0.006411945630849,0.08329667519522782
1681.651,0.2804751558335716,-0.15993689134479036,0.01680720819056625,0.06958405945709277
1683.579,0.2579624200582603,-0.1569392054208719,0.02672239683950621,0.05597877976137152
1685.508,0.23567047051959722,-0.15355899327212483,0.03638046689411407,0.04341332607168605
1687.436,0.21497622788769413,-0.14999713719293412,0.0455362475119632,0.031853473962766485
1689.365,0.19621154790569872,-0.146370697700165,0.053972437279067684,0.021099475120322633
1691.293,0.1785041105663558,-0.14270335295362627,0.061687438330455056,0.011200671041489852
1693.222,0.16155526034437054,-0.13899335797202406,0.06883482153112862,0.0024449288073328567
1695.15,0.14698828460470176,-0.13523247183881285,0.07525064855291569,-0.005821939957355954
1697.079,0.13439305346364783,-0.1314867331138952,0.08098494658460073,-0.013506255132203857
1699.007,0.12337891848746209,-0.12782422834415155,0.0862273602661095,-0.02042361174189916
1700.936,0.1116103495740977,-0.12420728020362651,0.09110147632541618,-0.026562243326590105
1702.864,0.10136041072408793,-0.12050969493925165,0.09566787442399523,-0.032019473190423565
1704.793,0.09263599553952045,-0.11692731518091863,0.09949410617801412,-0.0382644017318028
1706.721,0.08487188077548634,-0.11351975595363728,0.10273310902620497,-0.04525710379631196
1708.65,0.07804370529436566,-0.11012788087641613,0.10580614995676767,-0.05197835057764899
1710.578,0.07249042845633301,-0.10671998986565961,0.10882647084129587,-0.058017898779652695
1712.507,0.06711419675669032,-0.1033447679667189,0.11171465905102282,-0.06353187502798728
1714.435,0.06266742828927646,-0.09998863325337319,0.11442432016846953,-0.06876677181491428
1716.364,0.058382047821720816,-0.09668550466033611,0.1168852943273548,-0.0739678456411693
1718.292,0.05524760090828937,-0.09344221170259083,0.1192499603365425,-0.0787799222339902
1720.221,0.05213909440012531,-0.09027465207902761,0.1214490248650022,-0.08336499211644555
1722.149,0.04867479950198257,-0.087162832072486,0.12342881990856273,-0.08762594444569759
1724.078,0.04569761323986385,-0.08401154086351832,0.1253415082476982,-0.09093269198670717
1726.006,0.04292002455292491,-0.0808931125590739,0.1270649784994199,-0.09334635451222459
1727.935,0.04020642384755422,-0.07786117939098905,0.12868390590119164,-0.09459453340483281
1729.863,0.03777708651927488,-0.07489644427688173,0.130206456913195,-0.09470629886752732
1731.792,0.03496604641984915,-0.07199578229752195,0.13155447710720372,-0.0939707099534031
1733.72,0.03308700687602396,-0.06919558892778592,0.13263349414264322,-0.09243563743003066
1735.649,0.03136225168514223,-0.06651746982812917,0.133289431032288,-0.0899621350172999
1737.577,0.02881755608978827,-0.06399614008183302,0.13354567813028878,-0.08588160807641435
1739.506,0.026839855753929723,-0.061637790123910234,0.13327469598956554,-0.08062324977086384
1741.434,0.02512312777290739,-0.05937777699936737,0.1323095845323435,-0.07470853044059589
1743.363,0.023268364452704974,-0.05716082564283722,0.1307733876649859,-0.06774085687725874
1745.291,0.02154589543564656,-0.05494680659531861,0.1286620742415784,-0.05970051749887108
1747.22,0.01985448807057831,-0.05282463084862481,0.12564156208516256,-0.051335928968915895
1749.148,0.018002995787016137,-0.05075372118774236,0.12165840972768437,-0.042860471928090504
1751.077,0.016444324676617283,-0.04868325355338581,0.11686168032367165,-0.03420891027260985
1753.005,0.015129259056776466,-0.04666525914934926,0.11148739765483665,-0.025047767742905597
1754.934,0.01329377251303469,-0.04462191002001548,0.10572200099163313,-0.01568493432119349
1756.862,0.01203998832451281,-0.042541025665593195,0.09944254778784525,-0.007124953664258779
1758.791,0.01094235300368367,-0.04048486585049287,0.09278407531430312,0.0006988530443236768
1760.719,0.01032910896901375,-0.03836501671933048,0.08593946456841178,0.007745035036027921
1762.648,0.009883518238979087,-0.036182498802952365,0.07910101684752942,0.014039076138865451
